mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
2	2	3	3	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	14											
2	2	2	2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	15											
2	2	3	3	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	16											
2	2	2	2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	17											
2	2	3	3	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	18											
3	3	4	4	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	19											
3	3	5	5	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	20									1		
3	3	23/4	23/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	21									1		
3	3	47/8	47/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	22									1		
3	3	4	4	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	23											
3	3	5	5	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	24											
3	3	4	4	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	25											
3	3	5	5	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	26											
3	3	4	4	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	27											
3	3	5	5	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	28											
4	4	6	6	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	29											
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	30		articStaccatoBelow									
4	4	7	7	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	31											
4	4	6	6	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	32											
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	33											
4	4	7	7	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	34											
4	4	6	6	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	35											
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	36											
4	4	7	7	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	37											
4	4	6	6	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	38											
4	4	13/2	13/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	39											
4	4	7	7	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	40											
5	5	8	8	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	41									2		
5	5	9	9	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	42									2		
5	5	39/4	39/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	43									2		
5	5	79/8	79/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	44									2		
5	5	8	8	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	45											
5	5	9	9	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	46											
5	5	8	8	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	47											
5	5	9	9	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	48											
5	5	8	8	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	49											
5	5	9	9	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	50											
6	6	10	10	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	51											
6	6	21/2	21/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	52		articStaccatoAbove									
6	6	11	11	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	53											
6	6	10	10	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	54											
6	6	11	11	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	55											
6	6	10	10	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	56											
6	6	11	11	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	57											
6	6	10	10	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	58											
6	6	11	11	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	59											
7	7	12	12	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	60											
7	7	13	13	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	61									3		
7	7	55/4	55/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	62									3		
7	7	111/8	111/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	63									3		
7	7	12	12	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	64											
7	7	13	13	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	65											
7	7	12	12	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	66											
7	7	13	13	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	67											
7	7	12	12	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	68											
7	7	13	13	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	69											
8	8	14	14	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	70											
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	71											
8	8	15	15	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	72											
8	8	14	14	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	73											
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	74											
8	8	15	15	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	75											
8	8	14	14	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	76											
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	77											
8	8	15	15	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	78											
8	8	14	14	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	79											
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	80											
8	8	15	15	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	81											
9	9	16	16	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	82									4		
9	9	67/4	67/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	83									4		
9	9	135/8	135/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	84									4		
9	9	17	17	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	85											
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	86		articStaccatoBelow									
9	9	16	16	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	87											
9	9	17	17	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	88											
9	9	16	16	0.0		0	0	StaffText	2/4	3	1	0							arco								
9	9	16	16	0.0		0	0	Dynamic	2/4	3	1	0					p										
9	9	16	16	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	89											
9	9	16	16	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	90											
9	9	17	17	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	91											
10	10	18	18	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	92									5		
10	10	75/4	75/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	93									5		
10	10	151/8	151/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	94									5		
10	10	19	19	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	95											
10	10	18	18	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	96											
10	10	19	19	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	97											
10	10	18	18	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	98											
10	10	18	18	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	99											
10	10	19	19	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	100											
11	11	20	20	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	101									6		
11	11	83/4	83/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	102									6		
11	11	167/8	167/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	103									6		
11	11	21	21	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	104											
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	105		articStaccatoBelow									
11	11	20	20	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	106											
11	11	21	21	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	107											
11	11	20	20	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	108									7		
11	11	20	20	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	109											
11	11	21	21	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	110											
12	12	22	22	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	111		articStaccatoBelow									
12	12	45/2	45/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	112		articStaccatoBelow									
12	12	23	23	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	113									8		
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	114											
12	12	22	22	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	115											
12	12	23	23	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	116											
12	12	22	22	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	117		ornamentTrill							7		
12	12	23	23	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	118											
12	12	22	22	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	119											
12	12	23	23	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	120											
13	13	24	24	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	121									9		
13	13	99/4	99/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	122									9		
13	13	199/8	199/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	123									9		
13	13	25	25	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	124											
13	13	51/2	51/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	125		articStaccatoAbove									
13	13	24	24	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	126											
13	13	25	25	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	127											
13	13	24	24	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	128											
13	13	24	24	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	129											
13	13	25	25	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	130											
14	14	26	26	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	131									10		
14	14	107/4	107/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	132									10		
14	14	215/8	215/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	133									10		
14	14	27	27	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	134											
14	14	26	26	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	135											
14	14	27	27	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	136											
14	14	26	26	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	137											
14	14	26	26	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	138											
14	14	27	27	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	139											
15	15	28	28	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	140									11		
15	15	29	29	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	141									11		
15	15	119/4	119/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	142									11		
15	15	239/8	239/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	143									11		
15	15	28	28	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	144											
15	15	28	28	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	145											
15	15	28	28	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	146											
16	16	30	30	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	147											
16	16	61/2	61/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	148		articStaccatoAbove									
16	16	31	31	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	149		articAccentAbove									
16	16	30	30	0.0		0	0	StaffText	2/4	2	1	0							arco								
16	16	30	30	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	150									12		
16	16	31	31	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	151									12		
16	16	127/4	127/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	152									12		
16	16	255/8	255/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	153									12		
16	16	30	30	0.0		0	0	StaffText	2/4	3	1	0							pizz.								
16	16	30	30	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	154											
16	16	31	31	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	155											
16	16	30	30	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	156											
17	17	32	32	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	157		articStaccatoAbove									
17	17	65/2	65/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	158		articStaccatoAbove									
17	17	33	33	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	159		articAccentAbove									
17	17	32	32	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	160											
17	17	65/2	65/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	161		articStaccatoBelow									
17	17	33	33	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	162		articAccentBelow									
17	17	32	32	0.0		0	0	StaffText	2/4	3	1	0							arco								
17	17	32	32	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	163									13		
17	17	33	33	0.75		1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	164									13		
17	17	135/4	135/4	0.125		7/16	7/16	Chord	2/4	3	1	1/32		1/32	1	165									13		
17	17	271/8	271/8	0.125		15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	166									13		
17	17	32	32	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	167											
18	18	34	34	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	168		articStaccatoBelow									
18	18	69/2	69/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	169		articStaccatoBelow									
18	18	35	35	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	170		articAccentBelow							14		
18	18	34	34	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	171											
18	18	69/2	69/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	172		articStaccatoBelow									
18	18	35	35	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	173		articAccentBelow							15		
18	18	34	34	0.0		0	0	StaffText	2/4	4	1	0							arco								
18	18	34	34	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	174											
18	18	35	35	0.75		1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	175									16		
18	18	143/4	143/4	0.125		7/16	7/16	Chord	2/4	4	1	1/32		1/32	1	176									16		
18	18	287/8	287/8	0.125		15/32	15/32	Chord	2/4	4	1	1/32		1/32	1	177									16		
19	19	36	36	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	178									17		
19	19	37	37	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	179									17		
19	19	151/4	151/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	180									17		
19	19	303/8	303/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	181									17		
19	19	36	36	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	182											
19	19	73/2	73/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	183		articStaccatoBelow									
19	19	37	37	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	184		articStaccatoBelow									
19	19	36	36	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	185											
19	19	73/2	73/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	186		articStaccatoBelow									
19	19	37	37	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	187		articStaccatoAbove									
19	19	36	36	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	188		articStaccatoBelow									
19	19	73/2	73/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	189		articStaccatoBelow									
19	19	37	37	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	190		articStaccatoBelow									
20	20	38	38	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	191											
20	20	77/2	77/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	192		articStaccatoAbove									
20	20	39	39	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	193											
20	20	38	38	0.0		0	0	StaffText	2/4	2	1	0							pizz.								
20	20	38	38	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	194											
20	20	39	39	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	195											
20	20	38	38	0.0		0	0	StaffText	2/4	3	1	0							pizz.								
20	20	38	38	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	196											
20	20	39	39	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	197											
20	20	38	38	0.0		0	0	StaffText	2/4	4	1	0							pizz.								
20	20	38	38	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	198											
20	20	39	39	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	199											
21	21	40	40	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	200											
21	21	41	41	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	201									18		
21	21	167/4	167/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	202									18		
21	21	335/8	335/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	203									18		
21	21	40	40	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	204											
21	21	41	41	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	205											
21	21	40	40	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	206											
21	21	41	41	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	207											
21	21	40	40	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	208											
21	21	41	41	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	209											
22	22	42	42	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	210											
22	22	85/2	85/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	211		articStaccatoBelow									
22	22	43	43	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	212											
22	22	42	42	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	213											
22	22	43	43	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	214											
22	22	42	42	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	215											
22	22	43	43	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	216											
22	22	42	42	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	217											
22	22	43	43	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	218											
23	23	44	44	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	219									19		
23	23	45	45	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	220									19		
23	23	183/4	183/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	221									19		
23	23	367/8	367/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	222									19		
23	23	45	45	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	223											
23	23	91/2	91/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	224											
23	23	44	44	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	225											
23	23	89/2	89/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	226											
23	23	45	45	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	227											
23	23	44	44	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	228											
23	23	89/2	89/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	229											
23	23	45	45	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	230											
24	24	46	46	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	231											
24	24	93/2	93/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	232		articStaccatoAbove									
24	24	47	47	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	233											
24	24	46	46	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	234											
24	24	47	47	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	235											
24	24	95/2	95/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	236											
24	24	46	46	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	237											
24	24	93/2	93/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	238											
24	24	47	47	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	239											
24	24	46	46	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	240											
24	24	93/2	93/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	241											
24	24	47	47	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	242											
25	25	48	48	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	243									20		
25	25	49	49	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	244									20		
25	25	199/4	199/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	245									20		
25	25	399/8	399/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	246									20		
25	25	48	48	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	247											
25	25	49	49	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	248											
25	25	48	48	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	249											
25	25	49	49	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	250											
25	25	48	48	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	251											
25	25	49	49	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	252											
26	26	50	50	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	253											
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	254											
26	26	51	51	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	255											
26	26	50	50	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	256											
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	257											
26	26	51	51	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	258											
26	26	50	50	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	259											
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	260											
26	26	51	51	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	261											
26	26	50	50	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	262											
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	263											
26	26	51	51	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	264											
27	27	52	52	0.0		0	0	StaffText	2/4	1	1	0							"<font face=""Plantin MT Std""/><b>Allegro di molto.
</b>"								
27	27	52	52	0.0		0	0	Tempo	2/4	1	1	0								𝅗𝅥=72	144.0	𝅗𝅥	72.0	0.0			
27	27	52	52	0.0		0	0	Dynamic	2/4	3	1	0					pp										
27	27	52	52	0.0		0	0	StaffText	2/4	3	1	0							arco								
27	27	52	52	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	265											
27	27	105/2	105/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	266											
27	27	53	53	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	267											
27	27	107/2	107/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	268											
28	28	54	54	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	269											
28	28	109/2	109/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	270											
28	28	55	55	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	271											
28	28	111/2	111/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	272											
29	29	56	56	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	273											
29	29	113/2	113/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	274											
29	29	57	57	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	275											
29	29	115/2	115/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	276											
30	30	58	58	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	277											
30	30	117/2	117/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	278											
