mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin
66	64	192	195	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	637									59				
66	64	385/2	391/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	638									59				
66	64	190	193	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	639													
66	64	191	194	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	640													
66	64	190	193	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	641													
66	64	191	194	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	642													
66	64	190	193	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	643													
66	64	191	194	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	644													
67	65	193	196	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	645									60				
67	65	195	198	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	646													
67	65	193	196	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	647													
67	65	194	197	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	648													
67	65	193	196	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	649													
67	65	194	197	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	650													
67	65	193	196	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	651													
67	65	194	197	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	652													
68	66	196	199	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	653													
68	66	198	201	0.0		1/2	1/2	Spanner	3/4	1	1	0																0	
68	66	198	201	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	654									61			0	
68	66	397/2	403/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	655									61			0	
68	66	196	199	0.0		0	0	Spanner	3/4	2	1	0																1	
68	66	196	199	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	656												1	
68	66	197	200	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	657												1	
68	66	196	199	0.0		0	0	Spanner	3/4	3	1	0																2	
68	66	196	199	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	658												2	
68	66	197	200	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	659												2	
68	66	196	199	0.0		0	0	Spanner	3/4	4	1	0																3	
68	66	196	199	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	660												3	
68	66	197	200	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	661												3	
69	67	199	202	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	662												0	
69	67	201	204	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	663									62			0	
69	67	403/2	409/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	664									62			0	
69	67	199	202	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	665												1	
69	67	200	203	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	666												1	
69	67	199	202	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	667												2	
69	67	200	203	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	668												2	
69	67	199	202	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	669												3	
69	67	200	203	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	670												3	
70	68	202	205	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	671												0	
70	68	204	207	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	672									63			0	
70	68	409/2	415/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	673									63			0	
70	68	202	205	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	674												1	
70	68	203	206	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	675												1	
70	68	202	205	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	676												2	
70	68	203	206	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	677												2	
70	68	202	205	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	678												3	
70	68	203	206	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	679												3	
71	69	205	208	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	680									64			0	
71	69	207	210	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	681												0	
71	69	205	208	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	682												1	
71	69	206	209	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	683												1	
71	69	205	208	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	684												2	
71	69	206	209	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	685												2	
71	69	205	208	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	686												3	
71	69	206	209	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	687												3	
72	70	208	211	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	688												0	
72	70	210	213	0.0		1/2	1/2	Spanner	3/4	1	1	0																0, 4	
72	70	210	213	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	689									65			0, 4	
72	70	421/2	427/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	690												0, 4	
72	70	208	211	0.0		0	0	Spanner	3/4	2	1	0																1, 5	
72	70	208	211	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	691												1, 5	
72	70	209	212	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	692												1, 5	
72	70	208	211	0.0		0	0	Spanner	3/4	3	1	0																2, 6	
72	70	208	211	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	693												2, 6	
72	70	209	212	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	694												2, 6	
72	70	208	211	0.0		0	0	Spanner	3/4	4	1	0																3, 7	
72	70	208	211	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	695												3, 7	
72	70	209	212	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	696												3, 7	
73	71	213	216	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	697												0, 4	
73	71	211	214	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	698												1, 5	
73	71	212	215	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	699												1, 5	
73	71	211	214	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	700												2, 6	
73	71	212	215	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	701												2, 6	
73	71	211	214	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	702												3, 7	
73	71	212	215	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	703												3, 7	
74	72	214	217	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	704												0, 4	
74	72	216	219	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	705									66			0, 4	
74	72	433/2	439/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	706												0, 4	
74	72	214	217	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	707												1, 5	
74	72	215	218	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	708												1, 5	
74	72	214	217	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	709												2, 6	
74	72	215	218	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	710												2, 6	
74	72	214	217	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	711												3, 7	
74	72	215	218	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	712												3, 7	
75	73	219	222	0.0		1/2	1/2	Dynamic	3/4	1	1	0					f												
75	73	219	222	0.0		1/2	1/2	Spanner	3/4	1	1	0																	
75	73	219	222	0.0		1/2	1/2	Spanner	3/4	1	1	0																	
75	73	219	222	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	713									67				
75	73	439/2	445/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	714													
75	73	217	220	0.0		0	0	Dynamic	3/4	2	1	0					f												
75	73	217	220	0.0		0	0	Spanner	3/4	2	1	0																	
75	73	217	220	0.0		0	0	Spanner	3/4	2	1	0																	
75	73	217	220	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	715													
75	73	218	221	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	716													
75	73	217	220	0.0		0	0	Dynamic	3/4	3	1	0					f												
75	73	217	220	0.0		0	0	Spanner	3/4	3	1	0																	
75	73	217	220	0.0		0	0	Spanner	3/4	3	1	0																	
75	73	217	220	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	717													
75	73	218	221	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	718													
75	73	217	220	0.0		0	0	Dynamic	3/4	4	1	0					f												
75	73	217	220	0.0		0	0	Spanner	3/4	4	1	0																	
75	73	217	220	0.0		0	0	Spanner	3/4	4	1	0																	
75	73	217	220	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	719													
75	73	218	221	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	720													
76	74	222	225	0.0		1/2	1/2	Spanner	3/4	1	1	0																8	
76	74	222	225	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	721									68			8	
76	74	445/2	451/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	722												8	
76	74	220	223	0.0		0	0	Spanner	3/4	2	1	0																9	
76	74	220	223	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	723												9	
76	74	221	224	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	724												9	
76	74	220	223	0.0		0	0	Spanner	3/4	3	1	0																10	
76	74	220	223	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	725												10	
76	74	221	224	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	726												10	
76	74	220	223	0.0		0	0	Spanner	3/4	4	1	0																11	
76	74	220	223	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	727												11	
76	74	221	224	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	728												11	
77	75	225	228	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	729									69			8	
77	75	451/2	457/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	730												8	
77	75	223	226	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	731												9	
77	75	224	227	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	732												9	
77	75	223	226	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	733												10	
77	75	224	227	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	734												10	
77	75	223	226	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	735												11	
77	75	224	227	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	736												11	
78	76	228	231	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	737									70			8	
78	76	457/2	463/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	738												8	
78	76	226	229	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	739												9	
78	76	227	230	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	740												9	
78	76	226	229	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	741												10	
78	76	227	230	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	742												10	
78	76	226	229	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	743												11	
78	76	227	230	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	744												11	
79	77	231	234	0.0		1/2	1/2	Dynamic	3/4	1	1	0					ff												
79	77	231	234	0.0		1/2	1/2	Spanner	3/4	1	1	0																	
79	77	231	234	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	745									71				
79	77	463/2	469/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	746													
79	77	229	232	0.0		0	0	Dynamic	3/4	2	1	0					ff												
79	77	229	232	0.0		0	0	Spanner	3/4	2	1	0																	
79	77	229	232	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	747													
79	77	229	232	0.0		0	0	Dynamic	3/4	3	1	0					ff												
79	77	229	232	0.0		0	0	Spanner	3/4	3	1	0																	
79	77	229	232	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	748													
79	77	229	232	0.0		0	0	Dynamic	3/4	4	1	0					ff												
79	77	229	232	0.0		0	0	Spanner	3/4	4	1	0																	
79	77	229	232	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	749													
80	78	232	235	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	750													
80	78	234	237	0.0		1/2	1/2	Dynamic	3/4	1	1	0					p												
80	78	234	237	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	751									72				
80	78	469/2	475/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	752									72				
80	78	232	235	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	753													
80	78	234	237	0.0		1/2	1/2	Dynamic	3/4	2	1	0					p												
80	78	234	237	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	754									73				
80	78	469/2	475/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	755									73				
80	78	232	235	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	756													
80	78	232	235	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	757													
81	79	235	238	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	758													
81	79	235	238	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	759													
82	80	240	243	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	760									74				
82	80	481/2	487/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	761									74				
82	80	240	243	0.0		1/2	1/2	Dynamic	3/4	3	1	0					p												
82	80	240	243	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	762									75				
82	80	481/2	487/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	763									75				
83	81	241	244	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	764													
83	81	241	244	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	765													
84	82	246	249	0.0		1/2	1/2	Dynamic	3/4	1	1	0					pp												
84	82	246	249	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	766									76				
84	82	493/2	499/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	767									76				
84	82	246	249	0.0		1/2	1/2	Dynamic	3/4	2	1	0					pp												
84	82	246	249	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	768									77				
84	82	493/2	499/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	769									77				
84	82	246	249	0.0		1/2	1/2	Dynamic	3/4	3	1	0					pp												
84	82	246	249	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	770									78				
84	82	493/2	499/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	771									78				
84	82	246	249	0.0		1/2	1/2	Dynamic	3/4	4	1	0					pp												
84	82	246	249	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	772									79				
84	82	493/2	499/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	773									79				
85	83	247	250	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	774													
85	83	247	250	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	775													
85	83	247	250	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	776													
85	83	247	250	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	777													
86	84	250	253	0.0		0	0	StaffText	3/4	1	1	0							pizz.										
86	84	250	253	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	778													
86	84	250	253	0.0		0	0	StaffText	3/4	2	1	0							pizz.										
86	84	250	253	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	779													
86	84	250	253	0.0		0	0	StaffText	3/4	3	1	0							pizz.										
86	84	250	253	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	780													
86	84	250	253	0.0		0	0	StaffText	3/4	4	1	0							pizz.										
86	84	250	253	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	781													
87	85	253	256	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	782													
87	85	253	256	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	783													
87	85	253	256	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	784													
87	85	253	256	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	785													
88	86		259	0.0	1	0	0	Dynamic	3/4	1	1	0					f												
88	86		259	0.0	1	0	0	StaffText	3/4	1	1	0							arco										
88	86		259	0.0	1	0	0	Chord	3/4	1	1	0	acciaccatura	1/16	1	786													
88	86		259	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	787									80				
88	86		519/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	788									80				
88	86		260	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	789									80				
88	86		521/2	0.5	1	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	790									80				
88	86		261	0.5	1	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	791									80				
88	86		523/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	792													
89	86	256	262	0.0	2	0	0	Dynamic	3/4	3	1	0					p												
89	86	256	262	0.0	2	0	0	StaffText	3/4	3	1	0							arco										
89	86	256	262	3.0	2	0	0	Chord	3/4	3	1	3/4		1/2	3/2	793													
89	86	256	262	0.0	2	0	0	Dynamic	3/4	4	1	0					p												
89	86	256	262	0.0	2	0	0	StaffText	3/4	4	1	0							arco										
89	86	256	262	3.0	2	0	0	Chord	3/4	4	1	3/4		1/2	3/2	794													
90	87	259	265	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	795													
90	87	259	265	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	796													
91	88	262	268	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	797													
91	88	263	269	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	798													
91	88	264	270	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	799													
91	88	262	268	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	800													
91	88	263	269	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	801													
91	88	264	270	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	802													
92	89	265	271	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	803													
92	89	265	271	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	804													
93	90	268	274	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	805													
93	90	268	274	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	806													
94	91	271	277	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	807													
94	91	272	278	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	808													
94	91	273	279	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	809													
94	91	271	277	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	810													
94	91	272	278	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	811													
94	91	273	279	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	812													
95	92	274	280	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	813													
95	92	275	281	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	814													
95	92	276	282	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	815													
95	92	274	280	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	816													
95	92	275	281	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	817													
95	92	276	282	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	818													
96	93	277	283	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	819													
96	93	277	283	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	820													
97	94	280	286	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	821													
97	94	280	286	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	822													
98	95	283	289	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	823													
98	95	283	289	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	824													
99	96	286	292	0.0		0	0	Spanner	3/4	3	1	0														0			
99	96	286	292	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	825										0			
99	96	287	293	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	826										0			
99	96	288	294	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	827										0			
99	96	286	292	0.0		0	0	Spanner	3/4	4	1	0														1			
99	96	286	292	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	828										1			
99	96	287	293	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	829										1			
99	96	288	294	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	830										1			
100	97	289	295	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	831										0			
100	97	289	295	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	832										1			
101	98	292	298	0.0		0	0	Spanner	3/4	3	1	0																	
101	98	292	298	0.0		0	0	Spanner	3/4	3	1	0																	0
101	98	292	298	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	833													0
101	98	292	298	0.0		0	0	Spanner	3/4	4	1	0																	
101	98	292	298	0.0		0	0	Spanner	3/4	4	1	0																	1
101	98	292	298	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	834													1
102	99	295	301	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	835													0
102	99	295	301	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	836													1
103	100	298	304	0.0		0	0	Spanner	3/4	3	1	0																	
103	100	298	304	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	837													
103	100	298	304	0.0		0	0	Spanner	3/4	4	1	0																	
103	100	298	304	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	838													
104	101	301	307	0.0		0	0	Dynamic	3/4	3	1	0					p												
104	101	301	307	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	839													
104	101	301	307	0.0		0	0	Dynamic	3/4	4	1	0					p												
104	101	301	307	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	840													
105	102	306	312	0.0		1/2	1/2	Dynamic	3/4	1	1	0					p												
105	102	306	312	0.0		1/2	1/2	StaffText	3/4	1	1	0							arco										
105	102	306	312	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	841									81				
105	102	306	312	0.0		1/2	1/2	Dynamic	3/4	2	1	0					p												
105	102	306	312	0.0		1/2	1/2	StaffText	3/4	2	1	0							arco										
105	102	306	312	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	842									82				
105	102	304	310	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	843													
105	102	304	310	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	844													
106	103	307	313	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	845									81				
106	103	309	315	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	846													
106	103	307	313	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	847									82				
106	103	309	315	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	848													
106	103	307	313	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	849													
106	103	307	313	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	850													
107	104	310	316	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	851									83				
107	104	312	318	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	852													
107	104	310	316	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	853									84				
107	104	312	318	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	854													
107	104	310	316	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	855													
107	104	311	317	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	856													
107	104	312	318	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	857													
107	104	310	316	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	858													
107	104	311	317	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	859													
107	104	312	318	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	860													
108	105	313	319	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	861									85				
108	105	315	321	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	862													
108	105	313	319	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	863									86				
108	105	315	321	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	864													
108	105	313	319	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	865													
108	105	313	319	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	866													
109	106	316	322	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	867									87				
109	106	318	324	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	868													
109	106	316	322	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	869									88				
109	106	318	324	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	870													
109	106	316	322	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	871													
109	106	316	322	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	872													
110	107	319	325	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	873									89				
110	107	320	326	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	874									89				
110	107	321	327	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	875													
110	107	319	325	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	876									90				
110	107	320	326	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	877									90				
110	107	321	327	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	878													
110	107	319	325	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	879													
110	107	320	326	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	880													
110	107	321	327	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	881													
110	107	319	325	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	882													
110	107	320	326	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	883													
110	107	321	327	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	884													
111	108	322	328	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	885									91				
111	108	323	329	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	886									91				
111	108	324	330	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	887													
111	108	322	328	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	888									92				
111	108	323	329	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	889									92				
111	108	324	330	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	890													
111	108	322	328	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	891													
111	108	323	329	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	892													
