mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
35	35	139/2	139/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	653		articStaccatoAbove											
35	35	279/4	279/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	654		articStaccatoAbove											
35	35	68	68	0.0	0	0	StaffText	2/4	4	1	0							cresc.										
35	35	68	68	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	655													
35	35	69	69	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	656													
36	36	70	70	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	657													
36	36	281/4	281/4	0.0	1/16	1/16	StaffText	2/4	1	1	0							dim.										
36	36	281/4	281/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	658		articStaccatoAbove											
36	36	141/2	141/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	659		articStaccatoAbove											
36	36	283/4	283/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	660		articStaccatoAbove											
36	36	71	71	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	661													
36	36	287/4	287/4	0.0	7/16	7/16	Dynamic	2/4	1	1	0					p												
36	36	287/4	287/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	662													
36	36	70	70	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	663													
36	36	70	70	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	664													
36	36	283/4	283/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	665										92			
36	36	71	71	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	666													
36	36	285/4	285/4	0.0	5/16	5/16	StaffText	2/4	3	1	0							dim.										
36	36	285/4	285/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	667		articStaccatoAbove											
36	36	143/2	143/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	668		articStaccatoAbove											
36	36	287/4	287/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	669		articStaccatoAbove											
36	36	70	70	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	670													
37	37	72	72	0.0	0	0	StaffText	2/4	1	1	0							cantabile										
37	37	72	72	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	671										93			
37	37	291/4	291/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	672													
37	37	73	73	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	673													
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	674													
37	37	72	72	0.0	0	0	Dynamic	2/4	2	1	0					p												
37	37	72	72	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	675		articStaccatoBelow								94			
37	37	289/4	289/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	676		articStaccatoBelow								94			
37	37	145/2	145/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	677		articStaccatoBelow								94			
37	37	291/4	291/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	678		articStaccatoBelow								94			
37	37	73	73	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	679		articStaccatoBelow								94			
37	37	293/4	293/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	680		articStaccatoBelow								94			
37	37	147/2	147/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	681		articStaccatoBelow								94			
37	37	295/4	295/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	682		articStaccatoBelow											
37	37	72	72	0.0	0	0	Dynamic	2/4	3	1	0					p												
37	37	72	72	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	683		articStaccatoAbove								95			
37	37	289/4	289/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	684		articStaccatoAbove								95			
37	37	145/2	145/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	685		articStaccatoAbove								95			
37	37	291/4	291/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	686		articStaccatoAbove								95			
37	37	73	73	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	687		articStaccatoAbove								95			
37	37	293/4	293/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	688		articStaccatoAbove								95			
37	37	147/2	147/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	689		articStaccatoAbove								95			
37	37	295/4	295/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	690		articStaccatoAbove											
37	37	72	72	0.0	0	0	Dynamic	2/4	4	1	0					p												
37	37	72	72	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	691													
38	38	74	74	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	692										96			
38	38	149/2	149/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	693													
38	38	75	75	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	694										97			
38	38	151/2	151/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	695													
38	38	74	74	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	696										98			
38	38	297/4	297/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	697													
38	38	149/2	149/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	698		articStaccatoBelow											
38	38	299/4	299/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	699		articStaccatoBelow											
38	38	75	75	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	700										99			
38	38	301/4	301/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	701													
38	38	151/2	151/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	702		articStaccatoBelow											
38	38	303/4	303/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	703		articStaccatoBelow											
38	38	74	74	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	704										100			
38	38	297/4	297/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	705													
38	38	149/2	149/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	706		articStaccatoAbove											
38	38	299/4	299/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	707		articStaccatoAbove											
38	38	75	75	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	708										101			
38	38	301/4	301/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	709													
38	38	151/2	151/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	710		articStaccatoAbove											
38	38	303/4	303/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	711		articStaccatoAbove											
38	38	74	74	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	712													
38	38	75	75	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	713													
39	39	76	76	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	714										102			
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	715													
39	39	77	77	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	716										103			
39	39	309/4	309/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	717													
39	39	155/2	155/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	718										104			
39	39	311/4	311/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	719													
39	39	76	76	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	720		articStaccatoBelow								105			
39	39	305/4	305/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	721		articStaccatoBelow								105			
39	39	153/2	153/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	722		articStaccatoBelow								105			
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	723		articStaccatoBelow								105			
39	39	77	77	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	724		articStaccatoBelow								105			
39	39	309/4	309/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	725		articStaccatoBelow								105			
39	39	155/2	155/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	726		articStaccatoBelow								105			
39	39	311/4	311/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	727		articStaccatoBelow											
39	39	76	76	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	728		articStaccatoAbove								106			
39	39	305/4	305/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	729		articStaccatoAbove								106			
39	39	153/2	153/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	730		articStaccatoAbove								106			
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	731		articStaccatoAbove								106			
39	39	77	77	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	732		articStaccatoAbove								106			
39	39	309/4	309/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	733		articStaccatoAbove								106			
39	39	155/2	155/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	734		articStaccatoAbove								106			
39	39	311/4	311/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	735		articStaccatoAbove											
39	39	76	76	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	736													
40	40	78	78	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	737										107			
40	40	157/2	157/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	738													
40	40	79	79	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	739										108			
40	40	159/2	159/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	740													
40	40	78	78	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	741										109			
40	40	313/4	313/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	742													
40	40	157/2	157/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	743		articStaccatoBelow											
40	40	315/4	315/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	744		articStaccatoBelow											
40	40	79	79	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	745										110			
40	40	317/4	317/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	746													
40	40	159/2	159/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	747		articStaccatoBelow											
40	40	319/4	319/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	748													
40	40	78	78	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	749										111			
40	40	313/4	313/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	750													
40	40	157/2	157/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	751		articStaccatoAbove											
40	40	315/4	315/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	752		articStaccatoAbove											
40	40	79	79	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	753										112			
40	40	317/4	317/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	754													
40	40	159/2	159/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	755		articStaccatoAbove											
40	40	319/4	319/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	756		articStaccatoAbove											
40	40	78	78	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	757													
40	40	79	79	0.75	1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	758													
40	40	319/4	319/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	759													
41	41	80	80	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	760										113			
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	761													
41	41	81	81	0.0	1/4	1/4	StaffText	2/4	1	1	0							cresc.										
41	41	81	81	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	762													
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	763													
41	41	80	80	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	764		articStaccatoBelow								114			
41	41	321/4	321/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	765		articStaccatoBelow								114			
41	41	161/2	161/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	766		articStaccatoBelow								114			
41	41	323/4	323/4	0.0	3/16	3/16	StaffText	2/4	3	1	0							cresc.							114			
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	767		articStaccatoBelow								114			
41	41	81	81	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	768		articStaccatoBelow								114			
41	41	325/4	325/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	769		articStaccatoBelow								114			
41	41	163/2	163/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	770		articStaccatoBelow								114			
41	41	327/4	327/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	771		articStaccatoBelow											
41	41	80	80	0.25	0	0	Chord	2/4	4	1	1/16		1/16	1	772		articStaccatoAbove								115			
41	41	321/4	321/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	773		articStaccatoAbove								115			
41	41	161/2	161/2	0.25	1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	774		articStaccatoAbove								115			
41	41	323/4	323/4	0.0	3/16	3/16	StaffText	2/4	4	1	0							cresc.							115			
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	775		articStaccatoAbove								115			
41	41	81	81	0.25	1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	776		articStaccatoAbove								115			
41	41	325/4	325/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	777		articStaccatoAbove								115			
41	41	163/2	163/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	778		articStaccatoAbove								115			
41	41	327/4	327/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	779		articStaccatoAbove											
42	42	82	82	0.0	0	0	Dynamic	2/4	1	1	0					f												
42	42	82	82	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	780										116			
42	42	331/4	331/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	781													
42	42	83	83	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	782													
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	783										117			
42	42	82	82	0.0	0	0	Dynamic	2/4	3	1	0					f												
42	42	82	82	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	784		articStaccatoAbove								118			
42	42	329/4	329/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	785		articStaccatoAbove								118			
42	42	165/2	165/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	786		articStaccatoAbove								118			
42	42	331/4	331/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	787		articStaccatoAbove								118			
42	42	83	83	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	788		articStaccatoAbove								118			
42	42	333/4	333/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	789		articStaccatoAbove								118			
42	42	167/2	167/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	790		articStaccatoAbove								118			
42	42	335/4	335/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	791		articStaccatoAbove											
42	42	82	82	0.0	0	0	Dynamic	2/4	4	1	0					f												
42	42	82	82	0.75	0	0	Chord	2/4	4	1	3/16		1/8	3/2	792										119			
42	42	331/4	331/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	793													
42	42	83	83	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	794													
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	795										120			
43	43	84	84	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	796													
43	43	169/2	169/2	0.0	1/8	1/8	StaffText	2/4	1	1	0							dim.										
43	43	169/2	169/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	797										121			
43	43	85	85	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	798													
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	799										122			
43	43	84	84	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	800		articStaccatoBelow								123			
43	43	337/4	337/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	801		articStaccatoBelow								123			
43	43	169/2	169/2	0.0	1/8	1/8	StaffText	2/4	3	1	0							dim.							123			
43	43	169/2	169/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	802		articStaccatoBelow								123			
43	43	339/4	339/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	803		articStaccatoBelow								123			
43	43	85	85	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	804		articStaccatoBelow								123			
43	43	341/4	341/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	805		articStaccatoBelow								123			
43	43	171/2	171/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	806		articStaccatoBelow								123			
43	43	343/4	343/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	807		articStaccatoBelow											
43	43	84	84	0.25	0	0	Chord	2/4	4	1	1/16		1/16	1	808													
43	43	169/2	169/2	0.0	1/8	1/8	StaffText	2/4	4	1	0							dim.										
43	43	169/2	169/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	809										124			
43	43	85	85	0.25	1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	810													
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	811										125			
44	44	86	86	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	812													
44	44	87	87	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	813													
44	44	349/4	349/4	0.0	5/16	5/16	Dynamic	2/4	1	1	0					p												
44	44	349/4	349/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	814		articStaccatoAbove								126			
44	44	175/2	175/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	815		articStaccatoAbove								126			
44	44	351/4	351/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	816		articStaccatoAbove								126			
44	44	345/4	345/4	0.0	1/16	1/16	Dynamic	2/4	2	1	0					p												
44	44	345/4	345/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	817		articStaccatoBelow											
44	44	173/2	173/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	818		articStaccatoBelow											
44	44	347/4	347/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	819		articStaccatoBelow											
44	44	87	87	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	820													
44	44	86	86	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	821													
44	44	175/2	175/2	0.0	3/8	3/8	Dynamic	2/4	3	1	0					p												
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	822										127			
44	44	86	86	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	823													
44	44	175/2	175/2	0.0	3/8	3/8	Dynamic	2/4	4	1	0					p												
44	44	175/2	175/2	0.0	3/8	3/8	Dynamic	2/4	4	1	0					p												
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	824										128			
45	45	88	88	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	825		articStaccatoAbove								126			
45	45	353/4	353/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	826		articStaccatoAbove								126			
45	45	177/2	177/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	827		articStaccatoAbove								126			
45	45	355/4	355/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	828		articStaccatoAbove											
45	45	89	89	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	829										129			
45	45	357/4	357/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	830										129			
45	45	179/2	179/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	831													
45	45	359/4	359/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	832		articStaccatoBelow											
45	45	88	88	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	833										130			
45	45	89	89	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	834										130			
45	45	88	88	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	835										131			
45	45	89	89	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	836										131			
45	45	88	88	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	837													
45	45	89	89	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	838										132			
46	46	90	90	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	839		articStaccatoBelow											
46	46	361/4	361/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	840		articStaccatoBelow								133			
46	46	181/2	181/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	841		articStaccatoBelow								133			
46	46	363/4	363/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	842		articStaccatoBelow											
46	46	91	91	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	843										134			
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	844													
46	46	90	90	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	845													
46	46	365/4	365/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	846		articStaccatoBelow								135			
46	46	183/2	183/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	847		articStaccatoBelow								135			
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	848		articStaccatoBelow											
46	46	90	90	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	849													
46	46	365/4	365/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	850		articStaccatoAbove								136			
46	46	183/2	183/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	851		articStaccatoAbove								136			
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	852		articStaccatoAbove											
46	46	90	90	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	853													
46	46	365/4	365/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	854		articStaccatoBelow								137			
46	46	183/2	183/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	855		articStaccatoBelow								137			
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	856		articStaccatoBelow											
47	47	369/4	369/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	857		articStaccatoAbove								138			
47	47	185/2	185/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	858		articStaccatoAbove								138			
47	47	371/4	371/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	859		articStaccatoAbove											
47	47	93	93	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	860										139			
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	861													
47	47	92	92	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	862													
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	863													
47	47	373/4	373/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	864		articStaccatoBelow								140			
47	47	187/2	187/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	865		articStaccatoBelow								140			
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	866		articStaccatoBelow											
47	47	92	92	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	867													
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	868													
47	47	373/4	373/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	869		articStaccatoAbove								141			
47	47	187/2	187/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	870		articStaccatoAbove								141			
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	871		articStaccatoAbove											
47	47	92	92	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	872													
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	873													
47	47	373/4	373/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	874		articStaccatoBelow								142			
47	47	187/2	187/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	875		articStaccatoBelow								142			
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	876		articStaccatoBelow											
48	48	377/4	377/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	877		articStaccatoAbove								143			
48	48	189/2	189/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	878		articStaccatoAbove								143			
48	48	379/4	379/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	879		articStaccatoAbove											
48	48	95	95	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	880										144			
48	48	191/2	191/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	881													
48	48	94	94	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	882													
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	883													
48	48	381/4	381/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	884		articStaccatoBelow								145			
48	48	191/2	191/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	885		articStaccatoBelow								145			
48	48	383/4	383/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	886		articStaccatoBelow											
48	48	94	94	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	887													
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	888													
48	48	381/4	381/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	889		articStaccatoAbove								146			
48	48	191/2	191/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	890		articStaccatoAbove								146			
48	48	383/4	383/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	891		articStaccatoAbove											
48	48	94	94	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	892													
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	893													
48	48	381/4	381/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	894		articStaccatoBelow								147			
