mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Trill:trill
11	10	28	28	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	165		articStaccatoBelow												
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	166		articStaccatoBelow												
11	10	29	29	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	167		articStaccatoBelow												
11	10	59/2	59/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	168														
11	10	30	30	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	169		articStaccatoBelow												
12	11	61/2	61/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	170		articStaccatoBelow												
12	11	31	31	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	171		articStaccatoBelow												
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	172		articStaccatoBelow												
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	173		articStaccatoBelow												
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	174		articStaccatoBelow												
12	11	33	33	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	175		articStaccatoBelow												
12	11	61/2	61/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	176		articStaccatoBelow												
12	11	31	31	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	177		articStaccatoBelow												
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	178		articStaccatoBelow												
12	11	32	32	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	179		articStaccatoBelow												
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	180		articStaccatoBelow												
12	11	33	33	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	181		articStaccatoBelow												
12	11	61/2	61/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	182		articStaccatoBelow												
12	11	31	31	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	183		articStaccatoBelow												
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	184		articStaccatoBelow												
12	11	32	32	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	185		articStaccatoBelow												
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	186		articStaccatoBelow												
12	11	33	33	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	187		articStaccatoBelow												
