mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line
6	6	20	20	0.0	0	0	Spanner	4/4	3	1	0																
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	156									26			
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	157									26			
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	158									26			
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	159												
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	160												
6	6	20	20	0.0	0	0	Dynamic	4/4	4	1	0					f											
6	6	20	20	0.0	0	0	Spanner	4/4	4	1	0																
6	6	20	20	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	161									27			
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	162												
7	7	24	24	0.0	0	0	Dynamic	4/4	1	1	0					p											
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	163												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	164												
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	165												
7	7	24	24	0.0	0	0	Dynamic	4/4	2	1	0					p											
7	7	24	24	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	166									28			
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	167									28			
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	168									28			
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	169									28			
7	7	25	25	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	170									28			
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	171									28			
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	172									28			
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	173												
7	7	26	26	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	174									29			
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	175									29			
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	176									29			
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	177									29			
7	7	27	27	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	178									29			
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	179									29			
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	180									29			
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	181												
7	7	24	24	0.0	0	0	Dynamic	4/4	3	1	0					p											
7	7	24	24	4.0	0	0	Chord	4/4	3	1	1		1	1	182												
7	7	24	24	0.0	0	0	Dynamic	4/4	4	1	0					p											
7	7	24	24	4.0	0	0	Chord	4/4	4	1	1		1	1	183												
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	184									30			
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	1	1	0													30	4		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	185									30	4		
8	8	28	28	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	186									31			
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	187									31			
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	188									31			
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	189									31			
8	8	29	29	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	190									31			
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	191									31			
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	192									31			
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	193												
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	2	1	0														5		
8	8	30	30	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	194									32	5		
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	195									32	5		
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	196									32	5		
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	197									32	5		
8	8	31	31	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	198									32	5		
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	199									32	5		
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	200									32	5		
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	201										5		
8	8	28	28	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	202												
8	8	61/2	61/2	0.0	5/8	5/8	Spanner	4/4	3	1	0														6		
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	203									33	6		
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	204									33	6		
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	205										6		
8	8	28	28	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	206												
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	4	1	0														7		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	207										7		
9	9	32	32	0.0	0	0	Spanner	4/4	1	1	0																
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	208												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	209									34			
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	210									34			
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	211									34			
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	212												
9	9	32	32	0.0	0	0	Spanner	4/4	2	1	0																
9	9	32	32	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	213									35			
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	214									35			
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	215									35			
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	216												
9	9	33	33	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	217									36			
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	218									36			
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	219									36			
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	220												
9	9	34	34	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	221									37			
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	222									37			
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	223									37			
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	224												
9	9	35	35	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	225									38			
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	226									38			
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	227									38			
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	228												
9	9	32	32	0.0	0	0	Spanner	4/4	3	1	0																
9	9	32	32	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	229									39			
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	230									39			
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	231									39			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	232												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	233									40			
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	234									40			
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	235									40			
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	236												
9	9	32	32	0.0	0	0	Spanner	4/4	4	1	0																
9	9	32	32	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	237												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	238									41			
9	9	34	34	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	239									41			
9	9	35	35	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	240												
10	10	36	36	0.0	0	0	StaffText	4/4	1	1	0							dimin.									
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	241									42			
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	242												
10	10	36	36	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	243									43			
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	244									43			
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	245									43			
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	246									43			
10	10	37	37	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	247									43			
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	248									43			
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	249									43			
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	250												
10	10	38	38	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	251									44			
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	252									44			
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	253									44			
10	10	155/4	155/4	0.0	11/16	11/16	StaffText	4/4	2	1	0							dimin.						44			
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	254									44			
10	10	39	39	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	255									44			
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	256									44			
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	257									44			
