mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin
4	3	5	5	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	27									5				
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	28													
4	3	6	6	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	29		articStaccatoBelow											
4	3	9/2	9/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	30													
4	3	5	5	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	31									6				
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	32									6				
4	3	6	6	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	33													
5	4	13/2	13/2	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	34									7				
5	4	29/4	29/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	35													
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	36									8				
5	4	8	8	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	37													
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	38									9				
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	39									9				
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	40													
5	4	8	8	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	41									10				
5	4	13/2	13/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	42									11				
5	4	7	7	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	43									11				
5	4	29/4	29/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	44													
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	45									12				
5	4	8	8	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	46													
5	4	13/2	13/2	1.0	0	0	Chord	2/4	4	1	1/4			1/4	1	47													
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	48									13				
5	4	8	8	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	49													
6	5	10	10	0.0	3/8	3/8	Spanner	2/4	1	1	0																	0	
6	5	10	10	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	50									14			0	
6	5	83/8	83/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	51												0	
6	5	17/2	17/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	52									10				
6	5	9	9	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	53									10				
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	54									10				
6	5	10	10	0.0	3/8	3/8	Spanner	2/4	2	1	0																	1	
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	55												1	
6	5	10	10	0.0	3/8	3/8	Spanner	2/4	3	1	0																	2	
6	5	10	10	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	56									15			2	
6	5	10	10	0.0	3/8	3/8	Spanner	2/4	4	1	0																	3	
6	5	10	10	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	57												3	
7	6	21/2	21/2	0.0	0	0	Spanner	2/4	1	1	0																		
7	6	21/2	21/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	58									16				
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	59													
7	6	12	12	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	60									17				
7	6	99/8	99/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	61													
7	6	21/2	21/2	0.0	0	0	Spanner	2/4	2	1	0																		
7	6	21/2	21/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	62													
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	63													
7	6	21/2	21/2	0.0	0	0	Spanner	2/4	3	1	0																		
7	6	21/2	21/2	1.5	0	0	Chord	2/4	3	1	3/8			1/4	3/2	64													
7	6	12	12	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	65													
7	6	21/2	21/2	0.0	0	0	Spanner	2/4	4	1	0																		
7	6	21/2	21/2	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	66													
7	6	12	12	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	67													
8	7	25/2	25/2	0.0	0	0	Dynamic	2/4	1	1	0						p												
8	7	25/2	25/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	68													
8	7	27/2	27/2	0.0	1/4	1/4	Spanner	2/4	1	1	0															0			
8	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	69										0			
8	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	70									18	0			
8	7	14	14	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	71									18	0			
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	72										0			
8	7	25/2	25/2	0.0	0	0	Dynamic	2/4	2	1	0						p												
8	7	25/2	25/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	73									19				
8	7	13	13	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	74									19				
8	7	53/4	53/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	75									19				
8	7	27/2	27/2	0.0	1/4	1/4	Spanner	2/4	2	1	0														19	1			
8	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	76									19	1			
8	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	77									19	1			
8	7	14	14	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	78									19	1			
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	79										1			
8	7	25/2	25/2	0.0	0	0	Dynamic	2/4	3	1	0						p												
8	7	25/2	25/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	80									20				
8	7	13	13	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	81									20				
8	7	53/4	53/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	82									20				
8	7	27/2	27/2	0.0	1/4	1/4	Spanner	2/4	3	1	0														20	2			
8	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	83									20	2			
8	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	84									20	2			
8	7	14	14	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	85									20	2			
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	86										2			
8	7	25/2	25/2	0.0	0	0	Dynamic	2/4	4	1	0						p												
8	7	25/2	25/2	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	87													
8	7	27/2	27/2	0.0	1/4	1/4	Spanner	2/4	4	1	0															3			
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	1	1	0																		
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	1	1	0																		0
9	8	29/2	29/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	88									21				0
9	8	15	15	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	89									21				0
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	90													0
9	8	16	16	0.0	3/8	3/8	Dynamic	2/4	1	1	0						p												
9	8	16	16	0.0	3/8	3/8	Spanner	2/4	1	1	0																		
9	8	16	16	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	91													
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	2	1	0																		
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	2	1	0																		1
9	8	29/2	29/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	92									22				1
9	8	15	15	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	93													1
9	8	31/2	31/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	94													1
9	8	16	16	0.0	3/8	3/8	Spanner	2/4	2	1	0																		
9	8	16	16	0.0	3/8	3/8	Dynamic	2/4	2	2	0						p												
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	3	1	0																		
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	3	1	0																		2
9	8	29/2	29/2	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	95									23				2
9	8	31/2	31/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	96													2
9	8	16	16	0.0	3/8	3/8	Spanner	2/4	3	1	0																		
9	8	16	16	0.0	3/8	3/8	Dynamic	2/4	3	2	0						p												
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	4	1	0																		
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	4	1	0																		3
9	8	29/2	29/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	97													3
9	8	15	15	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	98													3
9	8	31/2	31/2	1.0	1/4	1/4	Chord	2/4	4	1	1/4			1/4	1	99													3
9	8	16	16	0.0	3/8	3/8	Spanner	2/4	4	1	0																		
9	8	16	16	0.0	3/8	3/8	Dynamic	2/4	4	2	0						p												
10	9	33/2	33/2	0.0	0	0	Spanner	2/4	1	1	0																	4	
10	9	33/2	33/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	100									24			4	
10	9	17	17	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	101												4	
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	102									25			4	
10	9	18	18	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	103									25			4	
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	104												4	
10	9	17	17	0.0	1/8	1/8	Spanner	2/4	2	1	0																	5	
10	9	17	17	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	105												5	
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	106									26			5	
10	9	18	18	0.375	3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	107									26			5	
10	9	147/8	147/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	108												5	
10	9	17	17	0.0	1/8	1/8	Spanner	2/4	3	1	0																	6	
10	9	17	17	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	109												6	
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	110									27			6	
10	9	18	18	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	111									27			6	
10	9	147/8	147/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	112												6	
10	9	17	17	0.0	1/8	1/8	Spanner	2/4	4	1	0																	7	
10	9	17	17	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	113												7	
10	9	35/2	35/2	0.75	1/4	1/4	Chord	2/4	4	1	3/16			1/8	3/2	114									28			7	
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	115												7	
11	10	37/2	37/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	116												4	
11	10	19	19	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	117												4	
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	118												4	
11	10	20	20	0.0	3/8	3/8	Dynamic	2/4	1	1	0						sf											4	
11	10	20	20	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	119									29			4	
11	10	163/8	163/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	120												4	
11	10	37/2	37/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	121												5	
11	10	19	19	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	122												5	
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	123												5	
11	10	20	20	0.0	3/8	3/8	Dynamic	2/4	2	1	0						sf											5	
11	10	20	20	0.375	3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	124									30			5	
11	10	163/8	163/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	125												5	
11	10	37/2	37/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	126												6	
11	10	19	19	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	127												6	
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	128												6	
11	10	20	20	0.0	3/8	3/8	Dynamic	2/4	3	1	0						sf											6	
11	10	20	20	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	129												6	
11	10	37/2	37/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	130												7	
11	10	19	19	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	131												7	
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	132												7	
11	10	20	20	0.0	3/8	3/8	Dynamic	2/4	4	1	0						sf											7	
11	10	20	20	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	133												7	
12	11	41/2	41/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	134												4	
12	11	21	21	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	135												4	
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	136												4	
12	11	22	22	0.0	3/8	3/8	Dynamic	2/4	1	1	0						f												
12	11	22	22	0.0	3/8	3/8	Spanner	2/4	1	1	0																		
12	11	22	22	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	137									31				
12	11	41/2	41/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	138												5	
12	11	21	21	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	139												5	
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	140												5	
12	11	22	22	0.0	3/8	3/8	Dynamic	2/4	2	1	0						f												
12	11	22	22	0.0	3/8	3/8	Spanner	2/4	2	1	0																		
12	11	22	22	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	141													
12	11	41/2	41/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	142												6	
12	11	21	21	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	143												6	
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	144												6	
12	11	22	22	0.0	3/8	3/8	Dynamic	2/4	3	1	0						f												
12	11	22	22	0.0	3/8	3/8	Spanner	2/4	3	1	0																		
12	11	22	22	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	145									32				
12	11	41/2	41/2	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	146												7	
12	11	22	22	0.0	3/8	3/8	Dynamic	2/4	4	1	0						f												
12	11	22	22	0.0	3/8	3/8	Spanner	2/4	4	1	0																		
12	11	22	22	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	147									33				
13	12	45/2	45/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	148									31				
13	12	23	23	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	149									31				
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	150													
13	12	24	24	0.0	3/8	3/8	Spanner	2/4	1	1	0																0		
13	12	24	24	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	151									34		0		
13	12	45/2	45/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	152													
13	12	24	24	0.0	3/8	3/8	Spanner	2/4	2	1	0																1		
13	12	24	24	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	153									35		1		
13	12	45/2	45/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	154									32				
13	12	23	23	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	155									32				
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	156													
13	12	24	24	0.0	3/8	3/8	Spanner	2/4	3	1	0																2		
13	12	24	24	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	157											2		
13	12	45/2	45/2	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	158													
13	12	24	24	0.0	3/8	3/8	Spanner	2/4	4	1	0																3		
13	12	24	24	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	159									36		3		
14	13	49/2	49/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	160									34		0		
14	13	25	25	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	161									34		0		
14	13	51/2	51/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	162											0		
14	13	26	26	0.0	3/8	3/8	Spanner	2/4	1	1	0																		
14	13	49/2	49/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	163											1		
14	13	26	26	0.0	3/8	3/8	Spanner	2/4	2	1	0																		
14	13	49/2	49/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	164									37		2		
14	13	25	25	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	165									37		2		
14	13	51/2	51/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	166											2		
14	13	26	26	0.0	3/8	3/8	Spanner	2/4	3	1	0																		
14	13	49/2	49/2	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	167											3		
14	13	26	26	0.0	3/8	3/8	Dynamic	2/4	4	1	0						p												
14	13	26	26	0.0	3/8	3/8	Spanner	2/4	4	1	0																		
14	13	26	26	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	168									38				
15	14	28	28	0.0	3/8	3/8	Dynamic	2/4	1	1	0						p												
15	14	28	28	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	169									39				
15	14	227/8	227/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	170													
15	14	28	28	0.0	3/8	3/8	Dynamic	2/4	2	1	0						p												
15	14	28	28	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	171													
15	14	28	28	0.0	3/8	3/8	Dynamic	2/4	3	1	0						p												
15	14	28	28	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	172													
15	14	53/2	53/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	173									38				
15	14	27	27	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	174									38				
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	175									38				
15	14	28	28	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	176													
16	15	57/2	57/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	177									40				
16	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	178													
16	15	30	30	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	179													
16	15	57/2	57/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	180													
16	15	30	30	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	181													
16	15	57/2	57/2	1.5	0	0	Chord	2/4	3	1	3/8			1/4	3/2	182													
16	15	30	30	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	183													
16	15	57/2	57/2	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	184													
16	15	30	30	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	185													
17	16	61/2	61/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	186													
17	16	63/2	63/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	187													
17	16	127/4	127/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	188									41				
17	16	32	32	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	189									41				
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	190													
17	16	61/2	61/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	191									42				
17	16	123/4	123/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	192									42				
17	16	31	31	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	193									42				
17	16	125/4	125/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	194									42				
17	16	63/2	63/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	195													
17	16	61/2	61/2	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	196									43				
17	16	123/4	123/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	197									43				
17	16	31	31	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	198									43				
17	16	125/4	125/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	199									43				
17	16	63/2	63/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	200									43				
17	16	127/4	127/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	201									43				
17	16	32	32	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	202									43				
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	203													
17	16	61/2	61/2	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	204													
18	17	65/2	65/2	0.0	0	0	Spanner	2/4	1	1	0															4			
18	17	65/2	65/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	205									44	4			
18	17	67/2	67/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	206										4			
18	17	65/2	65/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	207													
18	17	33	33	0.0	1/8	1/8	Spanner	2/4	2	1	0															5			
18	17	33	33	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	208										5			
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	209										5			
18	17	34	34	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	210										5			
18	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	211										5			
18	17	65/2	65/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	212													
18	17	33	33	0.0	1/8	1/8	Spanner	2/4	3	1	0															6			
18	17	33	33	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	213										6			
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	214										6			
18	17	34	34	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	215										6			
18	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	216										6			
18	17	65/2	65/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	217													
18	17	33	33	0.0	1/8	1/8	Spanner	2/4	4	1	0															7			
18	17	33	33	0.25	1/8	1/8	Chord	2/4	4	1	1/16			1/16	1	218										7			
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16			1/16	1	219										7			
18	17	34	34	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	220										7			
18	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	221										7			
19	18	69/2	69/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	222									45	4			
