mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	TextLine	TextLine_dim.
3	3	14	14	0.5	1/2	1/2	Chord	12/8	2	1	1/8			1/8	1	49													
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	50													
3	3	15	15	0.0	3/4	3/4	Spanner	12/8	2	1	0															1			
3	3	15	15	0.5	3/4	3/4	Chord	12/8	2	1	1/8			1/8	1	51										1			
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8			1/8	1	52										1			
3	3	16	16	0.5	1	1	Chord	12/8	2	1	1/8			1/8	1	53										1			
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	54										1			
3	3	17	17	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	55										1			
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	56										1			
3	3	12	12	0.5	0	0	Chord	12/8	3	1	1/8			1/8	1	57													
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8			1/8	1	58													
3	3	13	13	0.5	1/4	1/4	Chord	12/8	3	1	1/8			1/8	1	59													
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	60													
3	3	14	14	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	61													
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	62													
3	3	15	15	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	63													
3	3	12	12	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	64													
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	65													
3	3	13	13	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	66													
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	67													
3	3	14	14	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	68													
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	69													
3	3	15	15	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	70													
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	71													
3	3	16	16	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	72													
3	3	33/2	33/2	0.0	9/8	9/8	Spanner	12/8	4	1	0															2			
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	73										2			
3	3	17	17	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	74										2			
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	75										2			
4	4	18	18	1.0	0	0	Chord	12/8	1	1	1/4			1/4	1	76										0			
4	4	39/2	39/2	3.0	3/8	3/8	Chord	12/8	1	1	3/4			1/2	3/2	77										0			
4	4	45/2	45/2	1.5	9/8	9/8	Chord	12/8	1	1	3/8			1/4	3/2	78										0			
4	4	18	18	0.5	0	0	Chord	12/8	2	1	1/8			1/8	1	79										1			
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8			1/8	1	80										1			
4	4	19	19	0.5	1/4	1/4	Chord	12/8	2	1	1/8			1/8	1	81										1			
4	4	39/2	39/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8			1/8	1	82										1			
4	4	20	20	0.5	1/2	1/2	Chord	12/8	2	1	1/8			1/8	1	83										1			
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	84										1			
4	4	21	21	0.5	3/4	3/4	Chord	12/8	2	1	1/8			1/8	1	85										1			
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8			1/8	1	86										1			
4	4	22	22	0.5	1	1	Chord	12/8	2	1	1/8			1/8	1	87										1			
4	4	45/2	45/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	88										1			
4	4	23	23	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	89										1			
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	90										1			
4	4	37/2	37/2	0.0	1/8	1/8	Spanner	12/8	3	1	0															3			
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8			1/8	1	91		articStaccatoBelow								3			
4	4	19	19	0.5	1/4	1/4	Chord	12/8	3	1	1/8			1/8	1	92		articStaccatoBelow								3			
4	4	39/2	39/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	93		articStaccatoBelow								3			
4	4	20	20	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	94		articStaccatoBelow								3			
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	95		articStaccatoBelow								3			
4	4	21	21	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	96		articStaccatoBelow								3			
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	97		articStaccatoBelow								3			
4	4	22	22	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	98		articStaccatoBelow								3			
4	4	45/2	45/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	99		articStaccatoBelow								3			
4	4	23	23	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	100		articStaccatoBelow								3			
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	101		articStaccatoBelow								3			
4	4	18	18	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	102										2			
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	103										2			
4	4	19	19	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	104										2			
4	4	39/2	39/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	105										2			
4	4	20	20	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	106										2			
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	107										2			
4	4	21	21	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	108										2			
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	109										2			
4	4	22	22	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	110										2			
4	4	45/2	45/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	111										2			
4	4	23	23	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	112										2			
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	113										2			
5	5	24	24	0.0	0	0	Dynamic	12/8	1	1	0						f												
5	5	24	24	0.0	0	0	Spanner	12/8	1	1	0																		
5	5	24	24	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	114													
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	115									0				
5	5	25	25	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	116													
5	5	51/2	51/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	117									1				
5	5	26	26	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	118									1				
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	119													
5	5	27	27	1.0	3/4	3/4	Chord	12/8	1	1	1/4			1/4	1	120													
5	5	24	24	1.0	0	0	Chord	12/8	2	1	1/4			1/4	1	121										1			
5	5	25	25	0.0	1/4	1/4	Spanner	12/8	2	1	0																		
5	5	27	27	0.0	3/4	3/4	Dynamic	12/8	2	1	0						f												
5	5	27	27	3.0	3/4	3/4	Chord	12/8	2	1	3/4		r8	1/2	3/2	122													
5	5	24	24	1.0	0	0	Chord	12/8	3	1	1/4			1/4	1	123										3			
5	5	25	25	0.0	1/4	1/4	Spanner	12/8	3	1	0																		
5	5	27	27	0.0	3/4	3/4	Dynamic	12/8	3	1	0						f												
5	5	27	27	3.0	3/4	3/4	Chord	12/8	3	1	3/4		r8	1/2	3/2	124													
5	5	24	24	1.0	0	0	Chord	12/8	4	1	1/4			1/4	1	125										2			
5	5	25	25	0.0	1/4	1/4	Spanner	12/8	4	1	0																		
5	5	27	27	0.0	3/4	3/4	Dynamic	12/8	4	1	0						f												
5	5	27	27	3.0	3/4	3/4	Chord	12/8	4	1	3/4		r8	1/2	3/2	126													
6	6	30	30	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	127									2				
6	6	61/2	61/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	128									2				
6	6	31	31	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	129													
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	130									3				
6	6	32	32	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	131									3				
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	132													
6	6	33	33	1.0	3/4	3/4	Chord	12/8	1	1	1/4			1/4	1	133													
6	6	30	30	1.0	0	0	Chord	12/8	2	1	1/4			1/4	1	134													
6	6	33	33	3.0	3/4	3/4	Chord	12/8	2	1	3/4		r8	1/2	3/2	135													
6	6	30	30	1.0	0	0	Chord	12/8	3	1	1/4			1/4	1	136													
6	6	33	33	3.0	3/4	3/4	Chord	12/8	3	1	3/4		r8	1/2	3/2	137													
6	6	30	30	1.0	0	0	Chord	12/8	4	1	1/4			1/4	1	138													
6	6	33	33	3.0	3/4	3/4	Chord	12/8	4	1	3/4		r8	1/2	3/2	139													
7	7	36	36	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	140									4				
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	141									4				
7	7	37	37	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	142													
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	143									5				
7	7	38	38	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	144									5				
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	145													
7	7	39	39	0.5	3/4	3/4	Chord	12/8	1	1	1/8			1/8	1	146									6				
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8			1/8	1	147									6				
7	7	40	40	0.5	1	1	Chord	12/8	1	1	1/8			1/8	1	148													
7	7	81/2	81/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8			1/8	1	149									7				
7	7	41	41	0.5	5/4	5/4	Chord	12/8	1	1	1/8			1/8	1	150									7				
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	151													
7	7	36	36	0.0	0	0	Dynamic	12/8	2	1	0						f												
7	7	36	36	1.0	0	0	Chord	12/8	2	1	1/4			1/4	1	152													
7	7	39	39	0.0	3/4	3/4	Dynamic	12/8	2	1	0						sf												
7	7	39	39	3.0	3/4	3/4	Chord	12/8	2	1	3/4		r8	1/2	3/2	153													
7	7	36	36	0.0	0	0	Dynamic	12/8	3	1	0						f												
7	7	36	36	1.0	0	0	Chord	12/8	3	1	1/4			1/4	1	154													
7	7	39	39	0.0	3/4	3/4	Dynamic	12/8	3	1	0						sf												
7	7	39	39	3.0	3/4	3/4	Chord	12/8	3	1	3/4		r8	1/2	3/2	155													
7	7	36	36	0.0	0	0	Dynamic	12/8	4	1	0						f												
7	7	36	36	1.0	0	0	Chord	12/8	4	1	1/4			1/4	1	156													
7	7	39	39	0.0	3/4	3/4	Dynamic	12/8	4	1	0						sf												
7	7	39	39	3.0	3/4	3/4	Chord	12/8	4	1	3/4		r8	1/2	3/2	157													
8	8	42	42	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	158													
8	8	87/2	87/2	0.0	3/8	3/8	Dynamic	12/8	1	1	0						ff												
8	8	87/2	87/2	0.3	3/8	3/8	Chord	12/8	1	1	3/40			1/8	3/5	159									8				
8	8	219/5	219/5	0.0	9/20	9/20	Spanner	12/8	1	1	0														8	4			
8	8	219/5	219/5	0.3	9/20	9/20	Chord	12/8	1	1	3/40			1/8	3/5	160									8	4			
8	8	441/10	441/10	0.3	21/40	21/40	Chord	12/8	1	1	3/40			1/8	3/5	161									8	4			
8	8	222/5	222/5	0.3	3/5	3/5	Chord	12/8	1	1	3/40			1/8	3/5	162									8	4			
8	8	447/10	447/10	0.3	27/40	27/40	Chord	12/8	1	1	3/40			1/8	3/5	163									8	4			
8	8	45	45	0.0	3/4	3/4	Spanner	12/8	1	1	0																		
8	8	45	45	0.5	3/4	3/4	Chord	12/8	1	1	1/8			1/8	1	164													
8	8	93/2	93/2	0.0	9/8	9/8	Dynamic	12/8	1	1	0						pp												
8	8	93/2	93/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8			1/8	1	165													
8	8	47	47	0.5	5/4	5/4	Chord	12/8	1	1	1/8			1/8	1	166													
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	167													
8	8	42	42	0.0	0	0	Dynamic	12/8	2	1	0						sf												
8	8	42	42	3.0	0	0	Chord	12/8	2	1	3/4		r8	1/2	3/2	168													
8	8	45	45	0.0	3/4	3/4	StaffText	12/8	2	1	0								"<font size=""11""/><i>dim.</i>"										
8	8	45	45	1.5	3/4	3/4	Chord	12/8	2	1	3/8		r8	1/4	3/2	169													
8	8	93/2	93/2	0.0	9/8	9/8	Dynamic	12/8	2	1	0						pp												
8	8	93/2	93/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	170													
8	8	47	47	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	171													
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	172													
8	8	42	42	0.0	0	0	Dynamic	12/8	3	1	0						sf												
8	8	42	42	3.0	0	0	Chord	12/8	3	1	3/4		r8	1/2	3/2	173													
8	8	45	45	0.0	3/4	3/4	StaffText	12/8	3	1	0								"<font size=""11""/><i>dim.</i>"										
8	8	45	45	1.5	3/4	3/4	Chord	12/8	3	1	3/8		r8	1/4	3/2	174													
8	8	93/2	93/2	0.0	9/8	9/8	Dynamic	12/8	3	1	0						pp												
8	8	93/2	93/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	175													
8	8	47	47	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	176													
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	177													
8	8	42	42	0.0	0	0	Dynamic	12/8	4	1	0						sf												
8	8	42	42	3.0	0	0	Chord	12/8	4	1	3/4		r8	1/2	3/2	178													
8	8	45	45	0.0	3/4	3/4	StaffText	12/8	4	1	0								"<font size=""11""/><i>dim.</i>"										
8	8	45	45	1.5	3/4	3/4	Chord	12/8	4	1	3/8		r8	1/4	3/2	179													
8	8	93/2	93/2	0.0	9/8	9/8	Dynamic	12/8	4	1	0						pp												
8	8	93/2	93/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	180													
8	8	47	47	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	181													
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	182													
9	9	48	48	0.0	0	0	Dynamic	12/8	1	1	0						sf												
9	9	48	48	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	183													
9	9	97/2	97/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	184													
9	9	49	49	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	185													
9	9	99/2	99/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	186													
9	9	50	50	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	187													
9	9	101/2	101/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	188													
9	9	51	51	0.0	3/4	3/4	Dynamic	12/8	1	1	0						sf												
9	9	51	51	0.5	3/4	3/4	Chord	12/8	1	1	1/8			1/8	1	189													
9	9	103/2	103/2	0.0	7/8	7/8	Spanner	12/8	1	1	0															5			
9	9	103/2	103/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8			1/8	1	190										5			
9	9	52	52	0.5	1	1	Chord	12/8	1	1	1/8			1/8	1	191										5			
9	9	105/2	105/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8			1/8	1	192										5			
9	9	53	53	0.5	5/4	5/4	Chord	12/8	1	1	1/8			1/8	1	193										5			
9	9	107/2	107/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	194										5			
9	9	48	48	0.0	0	0	Dynamic	12/8	2	1	0						sf												
9	9	48	48	0.5	0	0	Chord	12/8	2	1	1/8			1/8	1	195													
9	9	97/2	97/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8			1/8	1	196													
9	9	49	49	0.5	1/4	1/4	Chord	12/8	2	1	1/8			1/8	1	197													
9	9	99/2	99/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8			1/8	1	198													
9	9	50	50	0.5	1/2	1/2	Chord	12/8	2	1	1/8			1/8	1	199													
9	9	101/2	101/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	200													
9	9	51	51	0.0	3/4	3/4	Dynamic	12/8	2	1	0						sf												
9	9	51	51	0.5	3/4	3/4	Chord	12/8	2	1	1/8			1/8	1	201													
9	9	103/2	103/2	0.0	7/8	7/8	Spanner	12/8	2	1	0															6			
9	9	103/2	103/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8			1/8	1	202										6			
9	9	52	52	0.5	1	1	Chord	12/8	2	1	1/8			1/8	1	203										6			
9	9	105/2	105/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	204										6			
9	9	53	53	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	205										6			
9	9	107/2	107/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	206										6			
9	9	48	48	0.0	0	0	Dynamic	12/8	3	1	0						sf												
9	9	48	48	0.5	0	0	Chord	12/8	3	1	1/8			1/8	1	207													
9	9	97/2	97/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8			1/8	1	208													
9	9	49	49	0.5	1/4	1/4	Chord	12/8	3	1	1/8			1/8	1	209													
9	9	99/2	99/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	210													
9	9	50	50	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	211													
9	9	101/2	101/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	212													
9	9	51	51	0.0	3/4	3/4	Dynamic	12/8	3	1	0						sf												
9	9	51	51	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	213													
9	9	103/2	103/2	0.0	7/8	7/8	Spanner	12/8	3	1	0															7			
9	9	103/2	103/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	214										7			
9	9	52	52	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	215										7			
9	9	105/2	105/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	216										7			
9	9	53	53	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	217										7			
9	9	107/2	107/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	218										7			
9	9	48	48	0.0	0	0	Dynamic	12/8	4	1	0						sf												
9	9	48	48	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	219													
9	9	97/2	97/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	220													
9	9	49	49	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	221													
9	9	99/2	99/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	222													
9	9	50	50	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	223													
9	9	101/2	101/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	224													
9	9	51	51	0.0	3/4	3/4	Dynamic	12/8	4	1	0						sf												
9	9	51	51	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	225													
9	9	103/2	103/2	0.0	7/8	7/8	Spanner	12/8	4	1	0															8			
9	9	103/2	103/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	226										8			
9	9	52	52	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	227										8			
9	9	105/2	105/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	228										8			
9	9	53	53	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	229										8			
9	9	107/2	107/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	230										8			
10	10	54	54	0.0	0	0	Dynamic	12/8	1	1	0						sf									5			
10	10	54	54	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	231										5			
