mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	crescendo_line
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	27														
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	28														
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	29														
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	30		articAccentBelow												
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	31														
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	32														
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33														
3	3	6	6	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	34		articAccentBelow												
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	35														
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	36														
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	37														
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	38														
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	39														
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40														
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41														
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42														
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43														
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	44		articAccentBelow												
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	45														
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46														
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47														
4	4	9	9	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	48		articAccentBelow												
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	49														
4	4	10	10	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	50														
4	4	11	11	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	51														
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	52										2				
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	53														
5	5	14	14	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p													
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	54		articStaccatoAbove												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	55		articStaccatoAbove												
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	56														
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	57														
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	58														
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	59														
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	60														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	61														
5	5	12	12	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	62														
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	63														
5	5	13	13	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	64														
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	65														
5	5	14	14	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	66														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	67														
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	68										3				
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	69														
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	70		articStaccatoAbove												
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	71		articStaccatoAbove												
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	72		articStaccatoAbove												
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	73		articStaccatoAbove												
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74														
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	75														
6	6	15	15	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	76														
6	6	17	17	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	77														
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	78										4				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	79														
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	80		articStaccatoBelow												
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	81		articStaccatoBelow												
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	82		articStaccatoBelow												
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	83		articStaccatoBelow												
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	84														
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	85														
7	7	18	18	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	86														
7	7	20	20	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	87														
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	88										5				
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	89														
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	90		articStaccatoBelow												
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	91		articStaccatoBelow												
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	92		articStaccatoBelow												
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93		articStaccatoBelow												
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	94														
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	95														
8	8	21	21	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	96														
8	8	23	23	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	97														
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	98														
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	99														
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	100														
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	101														
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	102														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	103														
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	104														
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	105														
9	9	24	24	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	106														
9	9	26	26	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	107														
9	9	51/2	51/2	0.0	3/8	3/8	Dynamic	3/4	4	1	0					p													
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	108														
9	9	26	26	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	109														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	110														
10	10	27	27	0.0	0	0	Dynamic	3/4	1	1	0					sf													
10	10	27	27	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	111														
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	112														
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	113														
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114														
10	10	27	27	0.0	0	0	Dynamic	3/4	2	1	0					sf													
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	115		articAccentBelow												
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	116														
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117														
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118														
10	10	27	27	0.0	0	0	Dynamic	3/4	3	1	0					sf													
10	10	27	27	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	119		articAccentBelow												
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	120														
10	10	28	28	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	121														
10	10	29	29	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	122														
10	10	27	27	0.0	0	0	Dynamic	3/4	4	1	0					sf													
10	10	27	27	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	123										6				
10	10	29	29	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	124														
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	125										7				
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	126														
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	127														
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	128														
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	129														
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	130														
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	131		articAccentBelow												
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	132														
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	133														
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134														
11	11	30	30	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	135		articAccentBelow												
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	136														
11	11	31	31	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	137														
11	11	32	32	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	138														
11	11	30	30	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	139														
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	140														
11	11	32	32	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	141														
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	142														
12	12	33	33	0.0	0	0	Dynamic	3/4	1	1	0					sf													
12	12	33	33	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	143														
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	144														
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	145														
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	146														
12	12	33	33	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	147		articAccentBelow												
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	148														
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	149														
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	150														
12	12	33	33	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	151		articAccentBelow												
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	152														
12	12	34	34	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	153														
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	154														
12	12	33	33	0.0	0	0	Dynamic	3/4	4	1	0					sf													
12	12	33	33	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	155										8				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	156														
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	157										9				
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	158														
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	159														
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	160														
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	161														
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	162														
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	163		articAccentBelow												
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	164														
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165														
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166														
13	13	36	36	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	167		articAccentBelow												
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	168														
13	13	37	37	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	169														
13	13	38	38	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	170														
13	13	36	36	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	171														
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	172														
13	13	38	38	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	173														
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	174														
14	14	39	39	0.0	0	0	Dynamic	3/4	1	1	0					p													
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	175		articStaccatoBelow												
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	176		articStaccatoBelow												
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	177										10				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	178														
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	179		articStaccatoBelow												
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	180		articStaccatoBelow												
14	14	39	39	0.0	0	0	Dynamic	3/4	2	1	0					p													
14	14	39	39	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	181														
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	182														
14	14	40	40	0.0	1/4	1/4	StaffText	3/4	2	1	0							cresc.											
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	183														
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	184														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	185														
14	14	39	39	0.0	0	0	Dynamic	3/4	3	1	0					p													
14	14	39	39	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	186														
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	187														
14	14	40	40	0.0	1/4	1/4	StaffText	3/4	3	1	0							cresc.											
14	14	40	40	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	188														
14	14	41	41	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	189														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	190														
14	14	39	39	0.0	0	0	Dynamic	3/4	4	1	0					p													
14	14	39	39	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	191														
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	192														
14	14	40	40	0.0	1/4	1/4	StaffText	3/4	4	1	0							cresc.											
14	14	40	40	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	193														
14	14	41	41	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	194														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	195														
15	15	42	42	0.0	0	0	StaffText	3/4	1	1	0							cresc.											
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	196										11				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	197														
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	198		articStaccatoAbove												
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	199		articStaccatoAbove												
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	200										12				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	201														
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	202														
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	203														
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	204														
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205														
15	15	42	42	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	206														
15	15	43	43	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	207														
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	208														
15	15	44	44	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	209														
15	15	42	42	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	210														
15	15	43	43	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	211														
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	212														
15	15	44	44	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	213														
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	214		articStaccatoBelow												
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	215		articStaccatoBelow												
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	216										13				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	217														
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	218		articStaccatoBelow												
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	219		articStaccatoBelow												
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	220														
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	221														
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222														
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	223														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	224														
16	16	45	45	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	225														
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	226														
16	16	46	46	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	227														
16	16	47	47	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	228														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	229														
16	16	45	45	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	230														
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	231														
16	16	46	46	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	232														
16	16	47	47	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	233														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	234														
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	235										14				
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	236														
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	237		articStaccatoAbove												
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	238		articStaccatoAbove												
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	239										15				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	240														
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	241														
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	242														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	243														
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244														
17	17	48	48	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	245														
17	17	49	49	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	246														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	247														
17	17	50	50	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	248														
17	17	48	48	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	249														
17	17	49	49	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	250														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	251														
17	17	50	50	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	252														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	253														
18	18	51	51	0.0	0	0	Dynamic	3/4	1	1	0					ff													
18	18	51	51	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	254														
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	255														
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	256														
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	257														
18	18	51	51	0.0	0	0	Dynamic	3/4	2	1	0					ff													
18	18	51	51	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	258														
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	259														
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	260														
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	261														
18	18	51	51	0.0	0	0	Dynamic	3/4	3	1	0					ff													
18	18	51	51	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	262														
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	263														
18	18	52	52	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	264														
18	18	53	53	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	265														
18	18	51	51	0.0	0	0	Dynamic	3/4	4	1	0					ff													
18	18	51	51	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	266														
