mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
9	8	23	23	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	82		articStaccatoAbove							21		
9	8	47/2	47/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	83		articStaccatoAbove							21		
9	8	24	24	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	84		articStaccatoAbove									
9	8	43/2	43/2	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	85									22		
9	8	47/2	47/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	86											
9	8	43/2	43/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	87									23		
9	8	45/2	45/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4			1/4	1	88									23		
9	8	47/2	47/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	89									23		
9	8	24	24	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	90											
9	8	43/2	43/2	2.0	0	0	Chord	3/4	4	1	1/2			1/2	1	91									24		
9	8	47/2	47/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	92											
10	9	49/2	49/2	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	93									25		
10	9	51/2	51/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	94											
10	9	26	26	0.0	3/8	3/8	StaffText	3/4	1	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
10	9	26	26	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	95									26		
10	9	53/2	53/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	96									26		
10	9	27	27	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	97											
10	9	49/2	49/2	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	98									27		
10	9	51/2	51/2	0.0	1/4	1/4	StaffText	3/4	2	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
10	9	51/2	51/2	2.0	1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	99											
10	9	49/2	49/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	100									28		
10	9	51/2	51/2	0.0	1/4	1/4	StaffText	3/4	3	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"						28		
10	9	51/2	51/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4			1/4	1	101									28		
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	102											
10	9	49/2	49/2	0.0	0	0	StaffText	3/4	4	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
10	9	49/2	49/2	3.0	0	0	Chord	3/4	4	1	3/4			1/2	3/2	103											
11	10	55/2	55/2	0.0	0	0	Dynamic	3/4	1	1	0						p										
11	10	55/2	55/2	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	104									29		
11	10	29	29	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	105									29		
11	10	59/2	59/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	106									29		
11	10	30	30	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	107											
11	10	55/2	55/2	0.0	0	0	Dynamic	3/4	2	1	0						p										
11	10	55/2	55/2	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	108									30		
11	10	57/2	57/2	2.0	1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	109											
11	10	55/2	55/2	0.0	0	0	Dynamic	3/4	3	1	0						p										
11	10	55/2	55/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	110									31		
11	10	57/2	57/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4			1/4	1	111									31		
11	10	59/2	59/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	112											
11	10	55/2	55/2	0.0	0	0	Dynamic	3/4	4	1	0						p										
11	10	55/2	55/2	1.0	0	0	Chord	3/4	4	1	1/4			1/4	1	113									32		
11	10	57/2	57/2	1.0	1/4	1/4	Chord	3/4	4	1	1/4			1/4	1	114									32		
11	10	59/2	59/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	115											
12	11	61/2	61/2	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	116									33		
12	11	32	32	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	117									33		
12	11	65/2	65/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	118									33		
12	11	33	33	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	119											
12	11	61/2	61/2	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	120									34		
12	11	63/2	63/2	2.0	1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	121											
12	11	61/2	61/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	122									35		
12	11	63/2	63/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4			1/4	1	123									35		
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	124											
12	11	61/2	61/2	1.0	0	0	Chord	3/4	4	1	1/4			1/4	1	125									36		
12	11	63/2	63/2	1.0	1/4	1/4	Chord	3/4	4	1	1/4			1/4	1	126									36		
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	127											
13	12	67/2	67/2	0.0	0	0	StaffText	3/4	1	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
13	12	67/2	67/2	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	128									37		
13	12	35	35	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	129											
13	12	71/2	71/2	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f										
13	12	71/2	71/2	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	130									38		
13	12	145/4	145/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	131											
13	12	67/2	67/2	0.0	0	0	StaffText	3/4	2	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
13	12	67/2	67/2	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	132									39		
13	12	69/2	69/2	2.0	1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	133											
13	12	67/2	67/2	0.0	0	0	StaffText	3/4	3	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
13	12	67/2	67/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	134									40		
13	12	69/2	69/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4			1/4	1	135									40		
13	12	71/2	71/2	0.0	1/2	1/2	Dynamic	3/4	3	1	0						f										
13	12	71/2	71/2	0.0	1/2	1/2	Dynamic	3/4	3	1	0						f										
13	12	71/2	71/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	136											
13	12	67/2	67/2	0.0	0	0	StaffText	3/4	4	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
13	12	67/2	67/2	1.0	0	0	Chord	3/4	4	1	1/4			1/4	1	137									41		
13	12	69/2	69/2	1.0	1/4	1/4	Chord	3/4	4	1	1/4			1/4	1	138									41		
13	12	71/2	71/2	0.0	1/2	1/2	Dynamic	3/4	4	1	0						f										
13	12	71/2	71/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	139											
14	13	73/2	73/2	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	140											
14	13	77/2	77/2	0.0	1/2	1/2	Dynamic	3/4	1	1	0						mf										
14	13	77/2	77/2	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	141									42		
14	13	157/4	157/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	142											
14	13	73/2	73/2	0.0	0	0	Dynamic	3/4	2	1	0						f										
14	13	73/2	73/2	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	143											
14	13	77/2	77/2	0.0	1/2	1/2	Dynamic	3/4	2	1	0						mf										
14	13	77/2	77/2	0.75	1/2	1/2	Chord	3/4	2	1	3/16			1/8	3/2	144									43		
14	13	157/4	157/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	145											
14	13	73/2	73/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	146											
14	13	77/2	77/2	0.0	1/2	1/2	Dynamic	3/4	3	1	0						mf										
14	13	77/2	77/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	147											
14	13	73/2	73/2	1.0	0	0	Chord	3/4	4	1	1/4			1/4	1	148											
14	13	77/2	77/2	0.0	1/2	1/2	Dynamic	3/4	4	1	0						mf										
14	13	77/2	77/2	0.75	1/2	1/2	Chord	3/4	4	1	3/16			1/8	3/2	149									44		
14	13	157/4	157/4	0.25	11/16	11/16	Chord	3/4	4	1	1/16			1/16	1	150											
15	14	79/2	79/2	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	151											
15	14	79/2	79/2	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	152											
15	14	79/2	79/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	153											
15	14	81/2	81/2	2.0	1/4	1/4	Chord	3/4	3	1	1/2			1/2	1	154		articAccentAbove									
15	14	79/2	79/2	2.0	0	0	Chord	3/4	4	1	1/2			1/2	1	155											
15	14	83/2	83/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	156											
16	15	85/2	85/2	0.0	0	0	StaffText	3/4	1	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
16	15	85/2	85/2	0.75	0	0	Chord	3/4	1	1	3/16			1/8	3/2	157									45		
16	15	173/4	173/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	158											
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	159											
16	15	85/2	85/2	0.0	0	0	StaffText	3/4	2	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
16	15	85/2	85/2	0.75	0	0	Chord	3/4	2	1	3/16			1/8	3/2	160									46		
16	15	173/4	173/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	161											
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	162											
16	15	85/2	85/2	0.0	0	0	StaffText	3/4	3	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
16	15	85/2	85/2	2.0	0	0	Chord	3/4	3	1	1/2			1/2	1	163											
16	15	89/2	89/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	164		articAccentAbove							47		
16	15	85/2	85/2	0.0	0	0	StaffText	3/4	4	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
16	15	85/2	85/2	0.75	0	0	Chord	3/4	4	1	3/16			1/8	3/2	165									48		
16	15	173/4	173/4	0.25	3/16	3/16	Chord	3/4	4	1	1/16			1/16	1	166											
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	4	1	1/4			1/4	1	167											
17	16	91/2	91/2	0.0	0	0	Dynamic	3/4	1	1	0						p										
17	16	91/2	91/2	0.75	0	0	Chord	3/4	1	1	3/16			1/8	3/2	168									49		
17	16	185/4	185/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	169											
17	16	93/2	93/2	0.75	1/4	1/4	Chord	3/4	1	1	3/16			1/8	3/2	170									50		
17	16	189/4	189/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	171											
17	16	95/2	95/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	172									51		
17	16	48	48	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	173											
17	16	91/2	91/2	0.0	0	0	Dynamic	3/4	2	1	0						p										
17	16	91/2	91/2	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	174									52		
17	16	46	46	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	175											
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	176											
17	16	48	48	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	177											
17	16	91/2	91/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	178		articAccentBelow							53		
17	16	93/2	93/2	0.0	1/4	1/4	Dynamic	3/4	3	1	0						p										
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4			1/4	1	179											
17	16	95/2	95/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	180											
17	16	91/2	91/2	0.0	0	0	Dynamic	3/4	4	1	0						p										
17	16	91/2	91/2	0.5	0	0	Chord	3/4	4	1	1/8			1/8	1	181									54		
17	16	46	46	0.5	1/8	1/8	Chord	3/4	4	1	1/8			1/8	1	182											
17	16	93/2	93/2	1.0	1/4	1/4	Chord	3/4	4	1	1/4			1/4	1	183											
17	16	95/2	95/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	184											
18	17	97/2	97/2	0.0	0	0	Dynamic	3/4	1	1	0						pp										
18	17	97/2	97/2	3.0	0	0	Chord	3/4	1	1	3/4			1/2	3/2	185											
18	17	97/2	97/2	0.0	0	0	Dynamic	3/4	2	1	0						pp										
18	17	97/2	97/2	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	186											
18	17	97/2	97/2	0.0	0	0	Dynamic	3/4	3	1	0						pp										
18	17	97/2	97/2	3.0	0	0	Chord	3/4	3	1	3/4			1/2	3/2	187											
18	17	97/2	97/2	0.0	0	0	Dynamic	3/4	4	1	0						pp										
18	17	97/2	97/2	3.0	0	0	Chord	3/4	4	1	3/4			1/2	3/2	188											
19	18	103/2	103/2	0.0	0	0	StaffText	3/4	1	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
19	18	103/2	103/2	3.0	0	0	Chord	3/4	1	1	3/4			1/2	3/2	189											
19	18	103/2	103/2	0.0	0	0	StaffText	3/4	2	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
19	18	103/2	103/2	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	190											
19	18	103/2	103/2	0.0	0	0	StaffText	3/4	3	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
19	18	103/2	103/2	0.125	0	0	Chord	3/4	3	1	1/32			1/32	1	191									55		
19	18	413/8	413/8	0.125	1/32	1/32	Chord	3/4	3	1	1/32			1/32	1	192									55		
19	18	207/4	207/4	0.125	1/16	1/16	Chord	3/4	3	1	1/32			1/32	1	193									55		
19	18	415/8	415/8	0.125	3/32	3/32	Chord	3/4	3	1	1/32			1/32	1	194									55		
19	18	52	52	0.125	1/8	1/8	Chord	3/4	3	1	1/32			1/32	1	195									55		
19	18	417/8	417/8	0.125	5/32	5/32	Chord	3/4	3	1	1/32			1/32	1	196									55		
19	18	209/4	209/4	0.125	3/16	3/16	Chord	3/4	3	1	1/32			1/32	1	197									55		
19	18	419/8	419/8	0.125	7/32	7/32	Chord	3/4	3	1	1/32			1/32	1	198									55		
19	18	105/2	105/2	0.0	1/4	1/4	Spanner	3/4	3	1	0														55	0	
19	18	105/2	105/2	0.125	1/4	1/4	Chord	3/4	3	1	1/32			1/32	1	199									55	0	
19	18	421/8	421/8	0.125	9/32	9/32	Chord	3/4	3	1	1/32			1/32	1	200									55	0	
19	18	211/4	211/4	0.125	5/16	5/16	Chord	3/4	3	1	1/32			1/32	1	201									55	0	
19	18	423/8	423/8	0.125	11/32	11/32	Chord	3/4	3	1	1/32			1/32	1	202									55	0	
19	18	53	53	0.125	3/8	3/8	Chord	3/4	3	1	1/32			1/32	1	203									55	0	
19	18	425/8	425/8	0.125	13/32	13/32	Chord	3/4	3	1	1/32			1/32	1	204									55	0	
19	18	213/4	213/4	0.125	7/16	7/16	Chord	3/4	3	1	1/32			1/32	1	205									55	0	
19	18	427/8	427/8	0.125	15/32	15/32	Chord	3/4	3	1	1/32			1/32	1	206									55	0	
19	18	107/2	107/2	0.125	1/2	1/2	Chord	3/4	3	1	1/32			1/32	1	207									55	0	
19	18	429/8	429/8	0.125	17/32	17/32	Chord	3/4	3	1	1/32			1/32	1	208									55	0	
19	18	215/4	215/4	0.125	9/16	9/16	Chord	3/4	3	1	1/32			1/32	1	209									55	0	
19	18	431/8	431/8	0.125	19/32	19/32	Chord	3/4	3	1	1/32			1/32	1	210									55	0	
