mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	59		articStaccatoBelow										
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	60		articStaccatoBelow										
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	61		articStaccatoBelow										
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	62		articStaccatoBelow										
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	63		articStaccatoBelow										
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	64		articStaccatoBelow										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	65		articStaccatoBelow										
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	66		articStaccatoBelow										
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	67		articStaccatoBelow										
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	68		articStaccatoBelow										
3	3	6	6	0.5	0	0	Chord	3/4	4	1	1/8			1/8	1	69		articStaccatoAbove										
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8			1/8	1	70		articStaccatoAbove										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	4	1	1/8			1/8	1	71		articStaccatoAbove										
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	72		articStaccatoAbove										
3	3	8	8	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	73		articStaccatoAbove										
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	74		articStaccatoAbove										
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	75		articAccentBelow							0			
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	76												
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	77		articStaccatoBelow										
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	78		articStaccatoBelow										
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	79		articStaccatoBelow										
4	4	9	9	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	80		articAccentBelow										
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	81												
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	82												
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	83												
4	4	9	9	1.0	0	0	Chord	3/4	3	1	1/4		r16	1/4	1	84		articAccentBelow										
4	4	10	10	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	85												
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	86												
4	4	11	11	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	87												
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	88												
4	4	9	9	1.5	0	0	Chord	3/4	4	1	3/8			1/4	3/2	89		articAccentBelow										
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	90												
4	4	11	11	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	91												
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	92												
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	93		articAccentBelow							1			
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	94												
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	95		articStaccatoBelow										
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	96		articStaccatoBelow										
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	97		articStaccatoBelow										
5	5	12	12	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	98		articAccentBelow										
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	99												
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	100												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	101												
5	5	12	12	1.0	0	0	Chord	3/4	3	1	1/4		r16	1/4	1	102		articAccentBelow										
5	5	13	13	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	103												
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	104												
5	5	14	14	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	105												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	106												
5	5	12	12	1.5	0	0	Chord	3/4	4	1	3/8			1/4	3/2	107		articAccentBelow										
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	108												
5	5	14	14	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	109												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	110												
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	111		articAccentStaccatoBelow							2			
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	112												
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	113		articStaccatoBelow										
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	114		articStaccatoBelow										
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	115		articStaccatoBelow										
6	6	15	15	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	116		articAccentBelow										
6	6	15	15	1.0	0	0	Chord	3/4	3	1	1/4		r16	1/4	1	117		articAccentBelow										
6	6	16	16	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	118		articStaccatoBelow										
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	119		articStaccatoBelow										
6	6	17	17	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	120		articStaccatoBelow										
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	121		articStaccatoBelow										
6	6	15	15	1.5	0	0	Chord	3/4	4	1	3/8			1/4	3/2	122		articAccentBelow										
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	123		articStaccatoBelow										
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	124		articStaccatoBelow										
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	125		articStaccatoBelow										
7	7	39/2	39/2	0.0	3/8	3/8	StaffText	3/4	1	1	0								cresc.									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	126		articStaccatoBelow										
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	127		articStaccatoBelow										
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	128		articStaccatoBelow										
7	7	18	18	0.5	0	0	Chord	3/4	3	1	1/8			1/8	1	129		articStaccatoBelow										
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8			1/8	1	130		articStaccatoBelow										
7	7	19	19	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	131		articStaccatoBelow										
7	7	39/2	39/2	0.0	3/8	3/8	StaffText	3/4	3	1	0								cresc.									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	132		articStaccatoBelow										
7	7	20	20	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	133		articStaccatoBelow										
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	134		articStaccatoBelow										
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																	0
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	135		articStaccatoAbove										0
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	136		articStaccatoAbove										0
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	137		articStaccatoAbove										0
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	138		articStaccatoAbove										0
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	139		articStaccatoAbove										0
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	140		articStaccatoAbove										0
8	8	43/2	43/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																	1
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	141		articStaccatoAbove										1
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	142		articStaccatoAbove										1
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	143		articStaccatoAbove										1
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	144		articStaccatoAbove										1
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	145		articStaccatoAbove										1
8	8	21	21	0.0	0	0	Spanner	3/4	3	1	0																	2
8	8	21	21	0.5	0	0	Chord	3/4	3	1	1/8			1/8	1	146		articStaccatoAbove										2
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8			1/8	1	147		articStaccatoAbove										2
8	8	22	22	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	148		articStaccatoAbove										2
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	149		articStaccatoAbove										2
8	8	23	23	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	150		articStaccatoAbove										2
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	151		articStaccatoAbove										2
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0						f											
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0																	
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		r16	1/4	1	152												
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	153		articStaccatoAbove										
9	9	51/2	51/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p											
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	154		articStaccatoAbove										
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	155		articStaccatoAbove										
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	156		articStaccatoAbove										
9	9	24	24	0.0	0	0	Dynamic	3/4	2	1	0						f											
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																	
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		r16	1/4	1	157												
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	158												
9	9	51/2	51/2	0.0	3/8	3/8	Dynamic	3/4	2	1	0						p											
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	159												
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	160												
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	161												
9	9	24	24	0.0	0	0	Dynamic	3/4	3	1	0						f											
9	9	24	24	0.0	0	0	Spanner	3/4	3	1	0																	
9	9	24	24	1.0	0	0	Chord	3/4	3	1	1/4		r16	1/4	1	162												
9	9	25	25	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	163		articStaccatoAbove										
9	9	51/2	51/2	0.0	3/8	3/8	Dynamic	3/4	3	1	0						p											
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	164		articStaccatoAbove										
9	9	26	26	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	165		articStaccatoAbove										
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	166		articStaccatoAbove										
9	9	24	24	0.0	0	0	Dynamic	3/4	4	1	0						f											
9	9	24	24	1.0	0	0	Chord	3/4	4	1	1/4		r16	1/4	1	167												
9	9	25	25	0.5	1/4	1/4	Chord	3/4	4	1	1/8			1/8	1	168												
9	9	51/2	51/2	0.0	3/8	3/8	Dynamic	3/4	4	1	0						p											
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	169												
9	9	26	26	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	170												
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	171												
10	10	27	27	0.0	0	0	Chord	3/4	1	1	0	grace16		1/16	1	172												
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	173		articStaccatoAbove										
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	174		articStaccatoAbove										
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	175		articStaccatoAbove										
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	176		articStaccatoAbove										
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	177		articStaccatoAbove										
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	178		articStaccatoAbove										
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	179												
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	180												
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	181												
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	182												
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	183												
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	184												
10	10	27	27	0.5	0	0	Chord	3/4	3	1	1/8			1/8	1	185												
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8			1/8	1	186												
10	10	28	28	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	187												
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	188												
10	10	29	29	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	189												
10	10	27	27	0.5	0	0	Chord	3/4	4	1	1/8			1/8	1	190												
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8			1/8	1	191												
10	10	28	28	0.5	1/4	1/4	Chord	3/4	4	1	1/8			1/8	1	192												
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	193												
10	10	29	29	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	194												
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	195												
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	196												
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	197												
11	11	31	31	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16		1/16	1	198												
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	199												
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	200												
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	201												
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	202												
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	203												
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	204												
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	205												
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	206												
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	207												
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	208												
11	11	30	30	0.5	0	0	Chord	3/4	4	1	1/8			1/8	1	209												
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8			1/8	1	210												
11	11	31	31	0.5	1/4	1/4	Chord	3/4	4	1	1/8			1/8	1	211												
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	212												
11	11	32	32	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	213												
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	214												
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	215		articAccentBelow							3			
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	216												
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	217		articStaccatoBelow										
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	218		articStaccatoBelow										
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	219		articStaccatoBelow										
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		r16	1/4	1	220		articAccentBelow										
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	221												
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	222												
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	223												
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	224												
12	12	33	33	1.0	0	0	Chord	3/4	3	1	1/4		r16	1/4	1	225		articAccentBelow										
12	12	34	34	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	226												
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	227												
12	12	35	35	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	228												
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	229												
12	12	33	33	1.5	0	0	Chord	3/4	4	1	3/8			1/4	3/2	230		articAccentBelow										
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	231												
12	12	35	35	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	232												
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	233												
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	234		articAccentBelow							4			
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	235												
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	236		articStaccatoBelow										
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	237		articStaccatoBelow										
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	238		articStaccatoBelow										
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		r16	1/4	1	239		articAccentBelow										
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	240												
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	241												
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	242												
