mc	mn	onset	label
208	206	3/8	V6/VI
209	207	0	viio7/V
213	211	0	V
213	211	3/8	VI
214	212	0	ii%65
214	212	3/8	V7
215	213	0	i\\
216	214	0	iv
217	215	0	i6
218	216	0	iio
219	217	0	i
220	218	0	iv6
220	218	3/8	iv64
221	219	0	V6
221	219	3/8	viio64/IV
222	220	0	IV6
222	220	3/8	iio64
223	221	0	V[i
225	223	0	V6/V
225	223	3/8	V7
226	224	0	IV/V
226	224	3/8	iio64/V
227	225	0	V]
227	225	3/8	viio43/VI
228	226	0	VI6
228	226	3/8	viio43/IV
229	227	0	IV6
229	227	3/8	viio43/VII
230	228	0	VII6
230	228	3/8	viio43/V
231	229	0	V6
231	229	3/8	viio43/III
232	230	0	III6
232	230	3/8	viio2/VII
233	231	0	.bII6
233	231	3/8	V64/bII
233	231	1/2	.bII6
233	231	5/8	V2/bII
234	232	0	.bII6
234	232	1/8	V64/bII
234	232	1/4	.bII6
234	232	3/8	#viio6
234	232	1/2	i6
234	232	5/8	iio6
235	233	0	i6
235	233	1/8	#viio6
235	233	1/4	i6
235	233	3/8	i\\
235	233	1/2	V7
235	233	5/8	i
236	234	0	iio64
236	234	3/8	ii%65
237	235	0	V
237	235	3/8	viio7/IV
238	236	0	IV
238	236	3/8	viio7/III
239	237	0	III
239	237	3/8	ii%43/V
240	238	0	V/V
240	238	3/8	#viio7
241	239	0	I
241	239	3/8	VI
242	240	0	i6(11#72)
242	240	3/8	V7/VI
243	241	0	VI
243	241	3/8	V7/VI
244	242	0	iv6
244	242	3/8	V65/VI
245	243	0	VI6
245	243	3/8	#viio7/vii
246	244	0	vii6
246	244	3/8	#viio65
247	245	0	i6
247	245	3/8	viio7/III
248	246	0	III6
248	246	3/8	#viio65/iv
248	246	5/8	V7/iv
249	247	0	iv6
249	247	3/8	viio65/V
249	247	5/8	V7/V
250	248	0	V65\\
250	248	5/8	V
251	249	0	i
251	249	5/8	i64
252	250	0	V43
252	250	5/8	V
253	251	0	i
253	251	5/8	i64
254	252	0	V43
254	252	5/8	V
255	253	0	i6
255	253	5/8	i
256	254	0	.bII6
257	255	0	V(64)
258	256	0	V7
259	257	0	i\\
259	257	5/8	i64
260	258	0	V43
260	258	5/8	V
261	259	0	i
261	259	5/8	i64
262	260	0	V65
262	260	5/8	V7
263	261	0	i
264	262	0	.bII6
265	263	0	V(64)
265	263	5/8	i6
266	264	0	V7
267	265	0	i\\
267	265	1/4	i6
267	265	3/8	V64
267	265	1/2	i
267	265	5/8	V
268	266	0	i
268	266	1/8	V64
268	266	1/4	i6
268	266	3/8	V
268	266	1/2	i
268	266	5/8	V
269	267	0	i6
269	267	1/8	V
269	267	1/4	i
269	267	3/8	V64
269	267	1/2	i6
269	267	5/8	V64
270	268	0	i
270	268	1/8	V64
270	268	1/4	i6
270	268	3/8	V
270	268	1/2	i
270	268	5/8	V
271	269	0	i
271	269	1/8	V64
271	269	1/4	i6
271	269	3/8	V64
271	269	1/2	i
271	269	5/8	V
272	270	0	i
272	270	1/8	V64
272	270	1/4	i6
272	270	3/8	V
272	270	1/2	i
272	270	5/8	V64
273	271	0	i6
273	271	1/8	V
273	271	1/4	i
273	271	3/8	V64
273	271	1/2	i6
273	271	5/8	V64
274	272	0	i
274	272	1/8	V64
274	272	1/4	i6
274	272	3/8	V
274	272	1/2	i64
274	272	5/8	V
275	273	0	i
275	273	1/4	i6
275	273	3/8	V43
275	273	1/2	i
275	273	5/8	i64
276	274	0	i
276	274	3/8	#viio6
276	274	1/2	i6
276	274	5/8	i64
277	275	0	i
277	275	1/4	i6
277	275	3/8	#viio6
277	275	1/2	i
277	275	5/8	i64
278	276	0	i
278	276	1/8	#viio6
278	276	1/4	i
278	276	3/8	#viio6
278	276	1/2	i
278	276	5/8	i64
279	277	0	i
279	277	1/8	#viio6
279	277	1/4	i
279	277	3/8	#viio6
279	277	1/2	i
279	277	5/8	#viio7
280	278	0	i
280	278	1/8	#viio6
280	278	1/4	i6
280	278	3/8	iio6
281	279	0	.Ger6
281	279	3/8	I6
282	280	0	#viio6
282	280	3/8	i
283	281	0	#viio6
283	281	3/8	i
284	282	0	#viio
285	283	0	V(64)
286	284	0	V7
288	286	0	V(64)
290	288	0	V7
293	291	0	V
293	291	3/8	V6(+4)/V
294	292	0	v2
294	292	3/8	I6(13#7)
295	293	0	ii%43/V
295	293	3/8	V64
296	294	0	i
296	294	3/8	viio43/IV
297	295	0	V65/VII
298	296	0	.Fr6
298	296	3/8	.Ger6
299	297	0	V(64)
300	298	3/8	V
301	299	0	i\\
